Format Version,1.23,Take Name,Apr17_Sand_Des_3,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-04-17 06.44.54.322 PM,Capture Start Frame,7853625,Total Frames in Take,17196,Total Exported Frames,17196,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,legacyFront,legacyFront,legacyFront,legacyFront,legacyFront,legacyFront,legacyFront,legacyFront:Marker1,legacyFront:Marker1,legacyFront:Marker1,legacyFront:Marker2,legacyFront:Marker2,legacyFront:Marker2,legacyFront:Marker3,legacyFront:Marker3,legacyFront:Marker3,legacyRear,legacyRear,legacyRear,legacyRear,legacyRear,legacyRear,legacyRear,legacyRear:Marker1,legacyRear:Marker1,legacyRear:Marker1,legacyRear:Marker2,legacyRear:Marker2,legacyRear:Marker2,legacyRear:Marker3,legacyRear:Marker3,legacyRear:Marker3,FKA-legacyFront_Marker1,FKA-legacyFront_Marker1,FKA-legacyFront_Marker1,FKA-legacyFront_Marker2,FKA-legacyFront_Marker2,FKA-legacyFront_Marker2,FKA-legacyFront_Marker3,FKA-legacyFront_Marker3,FKA-legacyFront_Marker3,FKA-legacyRear_Marker1,FKA-legacyRear_Marker1,FKA-legacyRear_Marker1,FKA-legacyRear_Marker2,FKA-legacyRear_Marker2,FKA-legacyRear_Marker2,FKA-legacyRear_Marker3,FKA-legacyRear_Marker3,FKA-legacyRear_Marker3,FKA-softSpineSingleBody_Marker1,FKA-softSpineSingleBody_Marker1,FKA-softSpineSingleBody_Marker1,FKA-softSpineSingleBody_Marker2,FKA-softSpineSingleBody_Marker2,FKA-softSpineSingleBody_Marker2,FKA-softSpineSingleBody_Marker3,FKA-softSpineSingleBody_Marker3,FKA-softSpineSingleBody_Marker3,FKA-softSpineSingleBody_Marker4,FKA-softSpineSingleBody_Marker4,FKA-softSpineSingleBody_Marker4,FKA-softSpineSingleBody_Marker5,FKA-softSpineSingleBody_Marker5,FKA-softSpineSingleBody_Marker5,FKA-softSpineSingleBody_Marker6,FKA-softSpineSingleBody_Marker6,FKA-softSpineSingleBody_Marker6,Unlabeled 1151,Unlabeled 1151,Unlabeled 1151,Unlabeled 1166,Unlabeled 1166,Unlabeled 1166,Unlabeled 1198,Unlabeled 1198,Unlabeled 1198,Unlabeled 1213,Unlabeled 1213,Unlabeled 1213,Unlabeled 1226,Unlabeled 1226,Unlabeled 1226,Unlabeled 1230,Unlabeled 1230,Unlabeled 1230,Unlabeled 1231,Unlabeled 1231,Unlabeled 1231,Unlabeled 1234,Unlabeled 1234,Unlabeled 1234,Unlabeled 1235,Unlabeled 1235,Unlabeled 1235,Unlabeled 1239,Unlabeled 1239,Unlabeled 1239,Unlabeled 1240,Unlabeled 1240,Unlabeled 1240,Unlabeled 1242,Unlabeled 1242,Unlabeled 1242,Unlabeled 1243,Unlabeled 1243,Unlabeled 1243,Unlabeled 1245,Unlabeled 1245,Unlabeled 1245,Unlabeled 1246,Unlabeled 1246,Unlabeled 1246,Unlabeled 1248,Unlabeled 1248,Unlabeled 1248,Unlabeled 1250,Unlabeled 1250,Unlabeled 1250,Unlabeled 1251,Unlabeled 1251,Unlabeled 1251,legacyFront:Marker1,legacyFront:Marker1,legacyFront:Marker1,legacyFront:Marker2,legacyFront:Marker2,legacyFront:Marker2,legacyFront:Marker3,legacyFront:Marker3,legacyFront:Marker3,legacyRear:Marker1,legacyRear:Marker1,legacyRear:Marker1,legacyRear:Marker2,legacyRear:Marker2,legacyRear:Marker2,legacyRear:Marker3,legacyRear:Marker3,legacyRear:Marker3
,ID,615E43C271A611F11571DA7D1A00909B,615E43C271A611F11571DA7D1A00909B,615E43C271A611F11571DA7D1A00909B,615E43C271A611F11571DA7D1A00909B,615E43C271A611F11571DA7D1A00909B,615E43C271A611F11571DA7D1A00909B,615E43C271A611F11571DA7D1A00909B,615E43C271A611F11571DA7D1A00909B,615E43C271A611F11571DA7D1A00909B,615E43C271A611F11571DA7D1A00909B,615E43C271A611F11571DA7D1A00909B,615E43C271A611F11571DA7D1A00909B,615E43C271A611F11571DA7D1A00909B,615E43C271A611F11571DA7D1A00909B,615E43C271A611F11571DA7D1A00909B,615E43C271A611F11571DA7D1A00909B,7B0944BB71A611F11571DA7D1A00909B,7B0944BB71A611F11571DA7D1A00909B,7B0944BB71A611F11571DA7D1A00909B,7B0944BB71A611F11571DA7D1A00909B,7B0944BB71A611F11571DA7D1A00909B,7B0944BB71A611F11571DA7D1A00909B,7B0944BB71A611F11571DA7D1A00909B,7B0944BB71A611F11571DA7D1A00909B,7B0944BB71A611F11571DA7D1A00909B,7B0944BB71A611F11571DA7D1A00909B,7B0944BB71A611F11571DA7D1A00909B,7B0944BB71A611F11571DA7D1A00909B,7B0944BB71A611F11571DA7D1A00909B,7B0944BB71A611F11571DA7D1A00909B,7B0944BB71A611F11571DA7D1A00909B,7B0944BB71A611F11571DA7D1A00909B,"254392E770B511F11571DA7D1A00909B","254392E770B511F11571DA7D1A00909B","254392E770B511F11571DA7D1A00909B","254392E870B511F11571DA7D1A00909B","254392E870B511F11571DA7D1A00909B","254392E870B511F11571DA7D1A00909B","254392E970B511F11571DA7D1A00909B","254392E970B511F11571DA7D1A00909B","254392E970B511F11571DA7D1A00909B","435E62DD70B511F11571DA7D1A00909B","435E62DD70B511F11571DA7D1A00909B","435E62DD70B511F11571DA7D1A00909B","435E62DE70B511F11571DA7D1A00909B","435E62DE70B511F11571DA7D1A00909B","435E62DE70B511F11571DA7D1A00909B","435E62DF70B511F11571DA7D1A00909B","435E62DF70B511F11571DA7D1A00909B","435E62DF70B511F11571DA7D1A00909B","321346B43AC811F11571DA7D1A00809B","321346B43AC811F11571DA7D1A00809B","321346B43AC811F11571DA7D1A00809B","321346B53AC811F11571DA7D1A00809B","321346B53AC811F11571DA7D1A00809B","321346B53AC811F11571DA7D1A00809B","321346B73AC811F11571DA7D1A00809B","321346B73AC811F11571DA7D1A00809B","321346B73AC811F11571DA7D1A00809B","321346B93AC811F11571DA7D1A00809B","321346B93AC811F11571DA7D1A00809B","321346B93AC811F11571DA7D1A00809B","321346B63AC811F11571DA7D1A00809B","321346B63AC811F11571DA7D1A00809B","321346B63AC811F11571DA7D1A00809B","321346B83AC811F11571DA7D1A00809B","321346B83AC811F11571DA7D1A00809B","321346B83AC811F11571DA7D1A00809B","39DAB7828EE3A0711F1","39DAB7828EE3A0711F1","39DAB7828EE3A0711F1","3BBAB7828EE3A0711F1","3BBAB7828EE3A0711F1","3BBAB7828EE3A0711F1","3DCAB7828EE3A0711F1","3DCAB7828EE3A0711F1","3DCAB7828EE3A0711F1","3EDAB7828EE3A0711F1","3EDAB7828EE3A0711F1","3EDAB7828EE3A0711F1","3FBAB7828EE3A0711F1","3FBAB7828EE3A0711F1","3FBAB7828EE3A0711F1","3FFAB7828EE3A0711F1","3FFAB7828EE3A0711F1","3FFAB7828EE3A0711F1","400AB7828EE3A0711F1","400AB7828EE3A0711F1","400AB7828EE3A0711F1","40FAB7828EE3A0711F1","40FAB7828EE3A0711F1","40FAB7828EE3A0711F1","412AB7828EE3A0711F1","412AB7828EE3A0711F1","412AB7828EE3A0711F1","421AB7828EE3A0711F1","421AB7828EE3A0711F1","421AB7828EE3A0711F1","41DAB7828EE3A0711F1","41DAB7828EE3A0711F1","41DAB7828EE3A0711F1","426AB7828EE3A0711F1","426AB7828EE3A0711F1","426AB7828EE3A0711F1","424AB7828EE3A0711F1","424AB7828EE3A0711F1","424AB7828EE3A0711F1","429AB7828EE3A0711F1","429AB7828EE3A0711F1","429AB7828EE3A0711F1","428AB7828EE3A0711F1","428AB7828EE3A0711F1","428AB7828EE3A0711F1","42DAB7828EE3A0711F1","42DAB7828EE3A0711F1","42DAB7828EE3A0711F1","42BAB7828EE3A0711F1","42BAB7828EE3A0711F1","42BAB7828EE3A0711F1","42EAB7828EE3A0711F1","42EAB7828EE3A0711F1","42EAB7828EE3A0711F1","615E43C671A611F11571DA7D1A00909B","615E43C671A611F11571DA7D1A00909B","615E43C671A611F11571DA7D1A00909B","615E43C771A611F11571DA7D1A00909B","615E43C771A611F11571DA7D1A00909B","615E43C771A611F11571DA7D1A00909B","615E43C871A611F11571DA7D1A00909B","615E43C871A611F11571DA7D1A00909B","615E43C871A611F11571DA7D1A00909B","7B0944BF71A611F11571DA7D1A00909B","7B0944BF71A611F11571DA7D1A00909B","7B0944BF71A611F11571DA7D1A00909B","7B0944C071A611F11571DA7D1A00909B","7B0944C071A611F11571DA7D1A00909B","7B0944C071A611F11571DA7D1A00909B","7B0944C171A611F11571DA7D1A00909B","7B0944C171A611F11571DA7D1A00909B","7B0944C171A611F11571DA7D1A00909B"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.065342,0.017410,-0.013310,0.997622,0.361944,-0.028599,0.281568,0.373559,-0.031777,0.320546,0.354044,-0.030143,0.292445,0.358229,-0.023878,0.231714,-0.000000,-0.000000,-0.000000,1.000000,0.139345,-0.066146,0.261572,0.114275,-0.052597,0.254537,0.154905,-0.070590,0.229104,0.148855,-0.075251,0.301075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.373722,-0.031782,0.320678,0.353876,-0.030159,0.292523,0.358274,-0.023855,0.231502,0.114275,-0.052597,0.254537,0.154905,-0.070590,0.229104,0.148855,-0.075251,0.301075
1,0.008000,-0.065596,0.017451,-0.013591,0.997601,0.361901,-0.028603,0.281562,0.373517,-0.031767,0.320541,0.354001,-0.030137,0.292440,0.358186,-0.023906,0.231706,0.000102,0.000012,0.000096,1.000000,0.139342,-0.066154,0.261577,0.114270,-0.052608,0.254546,0.154903,-0.070588,0.229108,0.148855,-0.075265,0.301078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.373694,-0.031772,0.320690,0.353868,-0.030154,0.292531,0.358224,-0.023883,0.231498,0.114277,-0.052612,0.254548,0.154899,-0.070585,0.229098,0.148852,-0.075264,0.301082
2,0.017000,-0.065261,0.017149,-0.012447,0.997643,0.361903,-0.028594,0.281572,0.373508,-0.031758,0.320553,0.354002,-0.030153,0.292445,0.358201,-0.023869,0.231717,0.000198,-0.000058,0.000028,1.000000,0.139350,-0.066146,0.261576,0.114280,-0.052595,0.254544,0.154914,-0.070576,0.229108,0.148856,-0.075266,0.301077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.373676,-0.031764,0.320715,0.353879,-0.030170,0.292537,0.358233,-0.023845,0.231496,0.114279,-0.052595,0.254547,0.154916,-0.070578,0.229116,0.148856,-0.075265,0.301070
3,0.025000,-0.065576,0.017485,-0.013428,0.997604,0.361906,-0.028582,0.281560,0.373526,-0.031744,0.320537,0.354007,-0.030119,0.292439,0.358185,-0.023883,0.231704,0.000106,-0.000012,-0.000094,1.000000,0.139350,-0.066130,0.261564,0.114283,-0.052575,0.254531,0.154910,-0.070570,0.229095,0.148857,-0.075245,0.301065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.373705,-0.031747,0.320672,0.353870,-0.030136,0.292532,0.358226,-0.023861,0.231504,0.114285,-0.052575,0.254529,0.154906,-0.070569,0.229100,0.148858,-0.075246,0.301064
4,0.033000,-0.065624,0.017435,-0.013933,0.997595,0.361929,-0.028589,0.281560,0.373539,-0.031759,0.320540,0.354027,-0.030117,0.292438,0.358221,-0.023893,0.231703,0.000266,-0.000092,0.000222,1.000000,0.139355,-0.066114,0.261570,0.114281,-0.052572,0.254537,0.154923,-0.070534,0.229102,0.148862,-0.075236,0.301070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.373721,-0.031762,0.320685,0.353890,-0.030134,0.292529,0.358261,-0.023870,0.231499,0.114286,-0.052575,0.254541,0.154922,-0.070533,0.229103,0.148859,-0.075234,0.301066
5,0.042000,-0.065420,0.017229,-0.012826,0.997627,0.361930,-0.028577,0.281556,0.373536,-0.031737,0.320538,0.354028,-0.030127,0.292431,0.358225,-0.023866,0.231700,0.000198,-0.000069,-0.000037,1.000000,0.139349,-0.066149,0.261573,0.114282,-0.052596,0.254540,0.154914,-0.070582,0.229105,0.148853,-0.075271,0.301074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.373729,-0.031740,0.320679,0.353881,-0.030145,0.292524,0.358268,-0.023843,0.231500,0.114281,-0.052595,0.254538,0.154911,-0.070582,0.229117,0.148855,-0.075271,0.301069
6,0.050000,-0.065753,0.017342,-0.013379,0.997595,0.361914,-0.028569,0.281567,0.373524,-0.031716,0.320549,0.354013,-0.030103,0.292444,0.358206,-0.023889,0.231709,0.000316,-0.000028,0.000165,1.000000,0.139338,-0.066123,0.261572,0.114264,-0.052577,0.254544,0.154901,-0.070541,0.229102,0.148849,-0.075250,0.301070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.373717,-0.031719,0.320696,0.353865,-0.030121,0.292541,0.358249,-0.023865,0.231498,0.114250,-0.052568,0.254530,0.154905,-0.070542,0.229096,0.148858,-0.075256,0.301085
