Format Version,1.23,Take Name,Apr17_Sand_No_2,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-04-17 06.48.59.329 PM,Capture Start Frame,7883025,Total Frames in Take,6803,Total Exported Frames,6803,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,legacyFront,legacyFront,legacyFront,legacyFront,legacyFront,legacyFront,legacyFront,legacyFront:Marker1,legacyFront:Marker1,legacyFront:Marker1,legacyFront:Marker2,legacyFront:Marker2,legacyFront:Marker2,legacyFront:Marker3,legacyFront:Marker3,legacyFront:Marker3,legacyRear,legacyRear,legacyRear,legacyRear,legacyRear,legacyRear,legacyRear,legacyRear:Marker1,legacyRear:Marker1,legacyRear:Marker1,legacyRear:Marker2,legacyRear:Marker2,legacyRear:Marker2,legacyRear:Marker3,legacyRear:Marker3,legacyRear:Marker3,FKA-legacyFront_Marker1,FKA-legacyFront_Marker1,FKA-legacyFront_Marker1,FKA-legacyFront_Marker2,FKA-legacyFront_Marker2,FKA-legacyFront_Marker2,FKA-legacyFront_Marker3,FKA-legacyFront_Marker3,FKA-legacyFront_Marker3,FKA-legacyRear_Marker1,FKA-legacyRear_Marker1,FKA-legacyRear_Marker1,FKA-legacyRear_Marker2,FKA-legacyRear_Marker2,FKA-legacyRear_Marker2,FKA-legacyRear_Marker3,FKA-legacyRear_Marker3,FKA-legacyRear_Marker3,FKA-softSpineSingleBody_Marker1,FKA-softSpineSingleBody_Marker1,FKA-softSpineSingleBody_Marker1,FKA-softSpineSingleBody_Marker2,FKA-softSpineSingleBody_Marker2,FKA-softSpineSingleBody_Marker2,FKA-softSpineSingleBody_Marker3,FKA-softSpineSingleBody_Marker3,FKA-softSpineSingleBody_Marker3,FKA-softSpineSingleBody_Marker4,FKA-softSpineSingleBody_Marker4,FKA-softSpineSingleBody_Marker4,FKA-softSpineSingleBody_Marker5,FKA-softSpineSingleBody_Marker5,FKA-softSpineSingleBody_Marker5,FKA-softSpineSingleBody_Marker6,FKA-softSpineSingleBody_Marker6,FKA-softSpineSingleBody_Marker6,legacyFront:Marker1,legacyFront:Marker1,legacyFront:Marker1,legacyFront:Marker2,legacyFront:Marker2,legacyFront:Marker2,legacyFront:Marker3,legacyFront:Marker3,legacyFront:Marker3,legacyRear:Marker1,legacyRear:Marker1,legacyRear:Marker1,legacyRear:Marker2,legacyRear:Marker2,legacyRear:Marker2,legacyRear:Marker3,legacyRear:Marker3,legacyRear:Marker3
,ID,86F28D8B70B611F11571DA7D1A00909B,86F28D8B70B611F11571DA7D1A00909B,86F28D8B70B611F11571DA7D1A00909B,86F28D8B70B611F11571DA7D1A00909B,86F28D8B70B611F11571DA7D1A00909B,86F28D8B70B611F11571DA7D1A00909B,86F28D8B70B611F11571DA7D1A00909B,86F28D8B70B611F11571DA7D1A00909B,86F28D8B70B611F11571DA7D1A00909B,86F28D8B70B611F11571DA7D1A00909B,86F28D8B70B611F11571DA7D1A00909B,86F28D8B70B611F11571DA7D1A00909B,86F28D8B70B611F11571DA7D1A00909B,86F28D8B70B611F11571DA7D1A00909B,86F28D8B70B611F11571DA7D1A00909B,86F28D8B70B611F11571DA7D1A00909B,86F28D9870B611F11571DA7D1A00909B,86F28D9870B611F11571DA7D1A00909B,86F28D9870B611F11571DA7D1A00909B,86F28D9870B611F11571DA7D1A00909B,86F28D9870B611F11571DA7D1A00909B,86F28D9870B611F11571DA7D1A00909B,86F28D9870B611F11571DA7D1A00909B,86F28D9870B611F11571DA7D1A00909B,86F28D9870B611F11571DA7D1A00909B,86F28D9870B611F11571DA7D1A00909B,86F28D9870B611F11571DA7D1A00909B,86F28D9870B611F11571DA7D1A00909B,86F28D9870B611F11571DA7D1A00909B,86F28D9870B611F11571DA7D1A00909B,86F28D9870B611F11571DA7D1A00909B,86F28D9870B611F11571DA7D1A00909B,"254392E770B511F11571DA7D1A00909B","254392E770B511F11571DA7D1A00909B","254392E770B511F11571DA7D1A00909B","254392E870B511F11571DA7D1A00909B","254392E870B511F11571DA7D1A00909B","254392E870B511F11571DA7D1A00909B","254392E970B511F11571DA7D1A00909B","254392E970B511F11571DA7D1A00909B","254392E970B511F11571DA7D1A00909B","435E62DD70B511F11571DA7D1A00909B","435E62DD70B511F11571DA7D1A00909B","435E62DD70B511F11571DA7D1A00909B","435E62DE70B511F11571DA7D1A00909B","435E62DE70B511F11571DA7D1A00909B","435E62DE70B511F11571DA7D1A00909B","435E62DF70B511F11571DA7D1A00909B","435E62DF70B511F11571DA7D1A00909B","435E62DF70B511F11571DA7D1A00909B","C41961283AC811F11571DA7D1A00809B","C41961283AC811F11571DA7D1A00809B","C41961283AC811F11571DA7D1A00809B","C41961293AC811F11571DA7D1A00809B","C41961293AC811F11571DA7D1A00809B","C41961293AC811F11571DA7D1A00809B","C419612C3AC811F11571DA7D1A00809B","C419612C3AC811F11571DA7D1A00809B","C419612C3AC811F11571DA7D1A00809B","C419612D3AC811F11571DA7D1A00809B","C419612D3AC811F11571DA7D1A00809B","C419612D3AC811F11571DA7D1A00809B","C419612A3AC811F11571DA7D1A00809B","C419612A3AC811F11571DA7D1A00809B","C419612A3AC811F11571DA7D1A00809B","C419612B3AC811F11571DA7D1A00809B","C419612B3AC811F11571DA7D1A00809B","C419612B3AC811F11571DA7D1A00809B","86F28D8F70B611F11571DA7D1A00909B","86F28D8F70B611F11571DA7D1A00909B","86F28D8F70B611F11571DA7D1A00909B","86F28D9070B611F11571DA7D1A00909B","86F28D9070B611F11571DA7D1A00909B","86F28D9070B611F11571DA7D1A00909B","86F28D9170B611F11571DA7D1A00909B","86F28D9170B611F11571DA7D1A00909B","86F28D9170B611F11571DA7D1A00909B","86F28D9C70B611F11571DA7D1A00909B","86F28D9C70B611F11571DA7D1A00909B","86F28D9C70B611F11571DA7D1A00909B","86F28D9D70B611F11571DA7D1A00909B","86F28D9D70B611F11571DA7D1A00909B","86F28D9D70B611F11571DA7D1A00909B","86F28D9E70B611F11571DA7D1A00909B","86F28D9E70B611F11571DA7D1A00909B","86F28D9E70B611F11571DA7D1A00909B"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.000000,-0.000000,0.000000,1.000000,0.341328,-0.027055,0.311093,0.338110,-0.026986,0.260803,0.333118,-0.027802,0.321973,0.352758,-0.026378,0.350502,0.000000,0.000000,0.000000,1.000000,0.120991,-0.064160,0.292828,0.137265,-0.070200,0.260792,0.129438,-0.071611,0.332910,0.096269,-0.050669,0.284781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338110,-0.026986,0.260803,0.333118,-0.027802,0.321973,0.352758,-0.026378,0.350502,0.137265,-0.070200,0.260792,0.129438,-0.071611,0.332910,0.096269,-0.050669,0.284781
1,0.008000,0.000210,-0.000200,-0.000336,1.000000,0.341315,-0.027061,0.311091,0.338117,-0.026968,0.260800,0.333100,-0.027806,0.321968,0.352729,-0.026408,0.350505,0.000167,-0.000157,-0.000208,1.000000,0.121005,-0.064161,0.292850,0.137288,-0.070197,0.260817,0.129437,-0.071629,0.332933,0.096292,-0.050657,0.284800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338118,-0.026968,0.260811,0.333091,-0.027807,0.321954,0.352738,-0.026407,0.350509,0.137304,-0.070206,0.260813,0.129442,-0.071632,0.332936,0.096274,-0.050648,0.284801
2,0.017000,0.000370,-0.000067,-0.000578,1.000000,0.341311,-0.027063,0.311110,0.338099,-0.026952,0.260820,0.333097,-0.027808,0.321989,0.352735,-0.026428,0.350522,-0.000165,-0.000146,-0.000560,1.000000,0.121002,-0.064167,0.292848,0.137279,-0.070236,0.260819,0.129429,-0.071614,0.332935,0.096298,-0.050651,0.284790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338093,-0.026953,0.260824,0.333099,-0.027807,0.321962,0.352741,-0.026428,0.350550,0.137306,-0.070250,0.260812,0.129431,-0.071615,0.332931,0.096276,-0.050640,0.284800
3,0.025000,0.000212,-0.000036,0.000739,1.000000,0.341313,-0.027046,0.311083,0.338098,-0.026960,0.260793,0.333102,-0.027809,0.321963,0.352738,-0.026368,0.350494,0.000208,-0.000506,-0.000286,1.000000,0.121012,-0.064148,0.292832,0.137316,-0.070184,0.260811,0.129414,-0.071620,0.332920,0.096307,-0.050639,0.284766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338101,-0.026959,0.260809,0.333090,-0.027810,0.321946,0.352750,-0.026367,0.350495,0.137322,-0.070187,0.260813,0.129418,-0.071622,0.332921,0.096299,-0.050635,0.284765
4,0.033000,0.000288,-0.000161,0.000161,1.000000,0.341314,-0.027030,0.311098,0.338111,-0.026933,0.260807,0.333100,-0.027785,0.321976,0.352730,-0.026372,0.350512,0.000194,-0.000342,0.000045,1.000000,0.121017,-0.064158,0.292850,0.137314,-0.070184,0.260823,0.129437,-0.071623,0.332936,0.096299,-0.050666,0.284792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338111,-0.026933,0.260826,0.333098,-0.027785,0.321959,0.352733,-0.026372,0.350510,0.137322,-0.070189,0.260830,0.129442,-0.071626,0.332932,0.096289,-0.050660,0.284790
5,0.042000,0.000185,-0.000218,0.000190,1.000000,0.341315,-0.027055,0.311106,0.338118,-0.026968,0.260815,0.333100,-0.027809,0.321983,0.352727,-0.026388,0.350521,-0.000072,-0.000149,-0.000665,1.000000,0.121010,-0.064167,0.292839,0.137286,-0.070234,0.260809,0.129435,-0.071623,0.332926,0.096308,-0.050644,0.284783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338122,-0.026968,0.260832,0.333084,-0.027810,0.321964,0.352743,-0.026387,0.350525,0.137296,-0.070239,0.260807,0.129444,-0.071629,0.332936,0.096291,-0.050634,0.284775
