Format Version,1.23,Take Name,Apr17_Sand_No_3,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-04-17 06.50.51.250 PM,Capture Start Frame,7896456,Total Frames in Take,21876,Total Exported Frames,21876,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,legacyFront,legacyFront,legacyFront,legacyFront,legacyFront,legacyFront,legacyFront,legacyFront:Marker1,legacyFront:Marker1,legacyFront:Marker1,legacyFront:Marker2,legacyFront:Marker2,legacyFront:Marker2,legacyFront:Marker3,legacyFront:Marker3,legacyFront:Marker3,legacyRear,legacyRear,legacyRear,legacyRear,legacyRear,legacyRear,legacyRear,legacyRear:Marker1,legacyRear:Marker1,legacyRear:Marker1,legacyRear:Marker2,legacyRear:Marker2,legacyRear:Marker2,legacyRear:Marker3,legacyRear:Marker3,legacyRear:Marker3,FKA-legacyFront_Marker1,FKA-legacyFront_Marker1,FKA-legacyFront_Marker1,FKA-legacyFront_Marker2,FKA-legacyFront_Marker2,FKA-legacyFront_Marker2,FKA-legacyFront_Marker3,FKA-legacyFront_Marker3,FKA-legacyFront_Marker3,FKA-legacyRear_Marker1,FKA-legacyRear_Marker1,FKA-legacyRear_Marker1,FKA-legacyRear_Marker2,FKA-legacyRear_Marker2,FKA-legacyRear_Marker2,FKA-legacyRear_Marker3,FKA-legacyRear_Marker3,FKA-legacyRear_Marker3,FKA-softSpineSingleBody_Marker1,FKA-softSpineSingleBody_Marker1,FKA-softSpineSingleBody_Marker1,FKA-softSpineSingleBody_Marker2,FKA-softSpineSingleBody_Marker2,FKA-softSpineSingleBody_Marker2,FKA-softSpineSingleBody_Marker3,FKA-softSpineSingleBody_Marker3,FKA-softSpineSingleBody_Marker3,FKA-softSpineSingleBody_Marker4,FKA-softSpineSingleBody_Marker4,FKA-softSpineSingleBody_Marker4,FKA-softSpineSingleBody_Marker5,FKA-softSpineSingleBody_Marker5,FKA-softSpineSingleBody_Marker5,FKA-softSpineSingleBody_Marker6,FKA-softSpineSingleBody_Marker6,FKA-softSpineSingleBody_Marker6,Unlabeled 1264,Unlabeled 1264,Unlabeled 1264,Unlabeled 1265,Unlabeled 1265,Unlabeled 1265,Unlabeled 1266,Unlabeled 1266,Unlabeled 1266,Unlabeled 1267,Unlabeled 1267,Unlabeled 1267,Unlabeled 1268,Unlabeled 1268,Unlabeled 1268,Unlabeled 1269,Unlabeled 1269,Unlabeled 1269,Unlabeled 1270,Unlabeled 1270,Unlabeled 1270,Unlabeled 1271,Unlabeled 1271,Unlabeled 1271,Unlabeled 1272,Unlabeled 1272,Unlabeled 1272,Unlabeled 1273,Unlabeled 1273,Unlabeled 1273,Unlabeled 1274,Unlabeled 1274,Unlabeled 1274,Unlabeled 1275,Unlabeled 1275,Unlabeled 1275,legacyFront:Marker1,legacyFront:Marker1,legacyFront:Marker1,legacyFront:Marker2,legacyFront:Marker2,legacyFront:Marker2,legacyFront:Marker3,legacyFront:Marker3,legacyFront:Marker3,legacyRear:Marker1,legacyRear:Marker1,legacyRear:Marker1,legacyRear:Marker2,legacyRear:Marker2,legacyRear:Marker2,legacyRear:Marker3,legacyRear:Marker3,legacyRear:Marker3
,ID,9BC2ACA870B611F11571DA7D1A00909B,9BC2ACA870B611F11571DA7D1A00909B,9BC2ACA870B611F11571DA7D1A00909B,9BC2ACA870B611F11571DA7D1A00909B,9BC2ACA870B611F11571DA7D1A00909B,9BC2ACA870B611F11571DA7D1A00909B,9BC2ACA870B611F11571DA7D1A00909B,9BC2ACA870B611F11571DA7D1A00909B,9BC2ACA870B611F11571DA7D1A00909B,9BC2ACA870B611F11571DA7D1A00909B,9BC2ACA870B611F11571DA7D1A00909B,9BC2ACA870B611F11571DA7D1A00909B,9BC2ACA870B611F11571DA7D1A00909B,9BC2ACA870B611F11571DA7D1A00909B,9BC2ACA870B611F11571DA7D1A00909B,9BC2ACA870B611F11571DA7D1A00909B,AD5EDBC170B611F11571DA7D1A00909B,AD5EDBC170B611F11571DA7D1A00909B,AD5EDBC170B611F11571DA7D1A00909B,AD5EDBC170B611F11571DA7D1A00909B,AD5EDBC170B611F11571DA7D1A00909B,AD5EDBC170B611F11571DA7D1A00909B,AD5EDBC170B611F11571DA7D1A00909B,AD5EDBC170B611F11571DA7D1A00909B,AD5EDBC170B611F11571DA7D1A00909B,AD5EDBC170B611F11571DA7D1A00909B,AD5EDBC170B611F11571DA7D1A00909B,AD5EDBC170B611F11571DA7D1A00909B,AD5EDBC170B611F11571DA7D1A00909B,AD5EDBC170B611F11571DA7D1A00909B,AD5EDBC170B611F11571DA7D1A00909B,AD5EDBC170B611F11571DA7D1A00909B,"254392E770B511F11571DA7D1A00909B","254392E770B511F11571DA7D1A00909B","254392E770B511F11571DA7D1A00909B","254392E870B511F11571DA7D1A00909B","254392E870B511F11571DA7D1A00909B","254392E870B511F11571DA7D1A00909B","254392E970B511F11571DA7D1A00909B","254392E970B511F11571DA7D1A00909B","254392E970B511F11571DA7D1A00909B","435E62DD70B511F11571DA7D1A00909B","435E62DD70B511F11571DA7D1A00909B","435E62DD70B511F11571DA7D1A00909B","435E62DE70B511F11571DA7D1A00909B","435E62DE70B511F11571DA7D1A00909B","435E62DE70B511F11571DA7D1A00909B","435E62DF70B511F11571DA7D1A00909B","435E62DF70B511F11571DA7D1A00909B","435E62DF70B511F11571DA7D1A00909B","6D231423AC911F11571DA7D1A00809B","6D231423AC911F11571DA7D1A00809B","6D231423AC911F11571DA7D1A00809B","6D231463AC911F11571DA7D1A00809B","6D231463AC911F11571DA7D1A00809B","6D231463AC911F11571DA7D1A00809B","6D231453AC911F11571DA7D1A00809B","6D231453AC911F11571DA7D1A00809B","6D231453AC911F11571DA7D1A00809B","6D231433AC911F11571DA7D1A00809B","6D231433AC911F11571DA7D1A00809B","6D231433AC911F11571DA7D1A00809B","6D231473AC911F11571DA7D1A00809B","6D231473AC911F11571DA7D1A00809B","6D231473AC911F11571DA7D1A00809B","6D231443AC911F11571DA7D1A00809B","6D231443AC911F11571DA7D1A00809B","6D231443AC911F11571DA7D1A00809B","4A2AB7828EE3A0711F1","4A2AB7828EE3A0711F1","4A2AB7828EE3A0711F1","494AB7828EE3A0711F1","494AB7828EE3A0711F1","494AB7828EE3A0711F1","430AB7828EE3A0711F1","430AB7828EE3A0711F1","430AB7828EE3A0711F1","497AB7828EE3A0711F1","497AB7828EE3A0711F1","497AB7828EE3A0711F1","49CAB7828EE3A0711F1","49CAB7828EE3A0711F1","49CAB7828EE3A0711F1","4A3AB7828EE3A0711F1","4A3AB7828EE3A0711F1","4A3AB7828EE3A0711F1","4A4AB7828EE3A0711F1","4A4AB7828EE3A0711F1","4A4AB7828EE3A0711F1","4A5AB7828EE3A0711F1","4A5AB7828EE3A0711F1","4A5AB7828EE3A0711F1","4A6AB7828EE3A0711F1","4A6AB7828EE3A0711F1","4A6AB7828EE3A0711F1","4A7AB7828EE3A0711F1","4A7AB7828EE3A0711F1","4A7AB7828EE3A0711F1","4A8AB7828EE3A0711F1","4A8AB7828EE3A0711F1","4A8AB7828EE3A0711F1","4A9AB7828EE3A0711F1","4A9AB7828EE3A0711F1","4A9AB7828EE3A0711F1","9BC2ACAC70B611F11571DA7D1A00909B","9BC2ACAC70B611F11571DA7D1A00909B","9BC2ACAC70B611F11571DA7D1A00909B","9BC2ACAD70B611F11571DA7D1A00909B","9BC2ACAD70B611F11571DA7D1A00909B","9BC2ACAD70B611F11571DA7D1A00909B","9BC2ACAE70B611F11571DA7D1A00909B","9BC2ACAE70B611F11571DA7D1A00909B","9BC2ACAE70B611F11571DA7D1A00909B","AD5EDBC570B611F11571DA7D1A00909B","AD5EDBC570B611F11571DA7D1A00909B","AD5EDBC570B611F11571DA7D1A00909B","AD5EDBC670B611F11571DA7D1A00909B","AD5EDBC670B611F11571DA7D1A00909B","AD5EDBC670B611F11571DA7D1A00909B","AD5EDBC770B611F11571DA7D1A00909B","AD5EDBC770B611F11571DA7D1A00909B","AD5EDBC770B611F11571DA7D1A00909B"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.000000,-0.000000,0.000000,1.000000,0.327176,-0.026630,0.320696,0.323005,-0.024953,0.270572,0.318986,-0.027958,0.331692,0.339538,-0.026978,0.359823,0.000000,-0.000000,0.000000,1.000000,0.106280,-0.068422,0.305171,0.081304,-0.055342,0.297941,0.121534,-0.073925,0.272472,0.116001,-0.075999,0.345100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.323005,-0.024953,0.270572,0.318986,-0.027958,0.331692,0.339538,-0.026978,0.359823,0.081304,-0.055342,0.297941,0.121534,-0.073925,0.272472,0.116001,-0.075999,0.345100
1,0.008000,0.000133,0.000113,-0.000662,1.000000,0.327176,-0.026630,0.320691,0.322995,-0.024934,0.270568,0.318986,-0.027951,0.331688,0.339546,-0.027005,0.359815,-0.000065,0.000027,0.000090,1.000000,0.106279,-0.068444,0.305179,0.081301,-0.055370,0.297949,0.121533,-0.073949,0.272480,0.116005,-0.076014,0.345109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.322991,-0.024934,0.270559,0.318996,-0.027950,0.331692,0.339537,-0.027007,0.359824,0.081295,-0.055366,0.297943,0.121534,-0.073949,0.272488,0.116009,-0.076016,0.345108
2,0.017000,-0.000209,0.000187,-0.000374,1.000000,0.327191,-0.026611,0.320689,0.323002,-0.024951,0.270566,0.319004,-0.027928,0.331689,0.339567,-0.026952,0.359812,-0.000094,-0.000013,0.000094,1.000000,0.106291,-0.068438,0.305159,0.081313,-0.055364,0.297926,0.121547,-0.073944,0.272462,0.116013,-0.076005,0.345090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.322996,-0.024952,0.270565,0.319015,-0.027927,0.331679,0.339559,-0.026954,0.359830,0.081323,-0.055368,0.297913,0.121529,-0.073936,0.272476,0.116016,-0.076007,0.345092
3,0.025000,-0.000003,0.000231,0.000360,1.000000,0.327189,-0.026600,0.320678,0.322993,-0.024926,0.270556,0.319005,-0.027934,0.331678,0.339569,-0.026939,0.359800,0.000415,-0.000013,0.000239,1.000000,0.106289,-0.068440,0.305159,0.081307,-0.055366,0.297939,0.121546,-0.073909,0.272456,0.116013,-0.076046,0.345082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.322987,-0.024927,0.270557,0.319015,-0.027933,0.331667,0.339562,-0.026941,0.359817,0.081296,-0.055360,0.297930,0.121549,-0.073911,0.272473,0.116020,-0.076049,0.345079
4,0.033000,-0.000224,0.000067,-0.000150,1.000000,0.327197,-0.026618,0.320689,0.323019,-0.024962,0.270565,0.319008,-0.027939,0.331687,0.339564,-0.026952,0.359815,0.000013,-0.000123,0.000460,1.000000,0.106288,-0.068457,0.305168,0.081302,-0.055400,0.297932,0.121556,-0.073945,0.272473,0.116007,-0.076026,0.345100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.323014,-0.024962,0.270559,0.319020,-0.027938,0.331685,0.339554,-0.026954,0.359829,0.081295,-0.055395,0.297919,0.121554,-0.073944,0.272474,0.116015,-0.076030,0.345110
5,0.042000,-0.000252,0.000084,-0.000193,1.000000,0.327198,-0.026621,0.320678,0.323018,-0.024967,0.270554,0.319009,-0.027940,0.331676,0.339566,-0.026954,0.359803,0.000101,-0.000336,0.000815,1.000000,0.106294,-0.068443,0.305170,0.081302,-0.055402,0.297925,0.121579,-0.073914,0.272480,0.116001,-0.076012,0.345104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.323018,-0.024967,0.270556,0.319006,-0.027941,0.331669,0.339571,-0.026954,0.359811,0.081295,-0.055398,0.297907,0.121573,-0.073911,0.272479,0.116010,-0.076017,0.345119
