Format Version,1.23,Take Name,July25_Con_T2,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2025-07-25 05.44.38.705 PM,Capture Start Frame,928363,Total Frames in Take,7356,Total Exported Frames,7356,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Spine robot 1,Spine robot 1,Spine robot 1,Spine robot 1,Spine robot 1,Spine robot 1,Spine robot 1,Spine robot 1:Marker1,Spine robot 1:Marker1,Spine robot 1:Marker1,Spine robot 1:Marker2,Spine robot 1:Marker2,Spine robot 1:Marker2,Spine robot 1:Marker3,Spine robot 1:Marker3,Spine robot 1:Marker3,Spine robot 2,Spine robot 2,Spine robot 2,Spine robot 2,Spine robot 2,Spine robot 2,Spine robot 2,Spine robot 2:Marker1,Spine robot 2:Marker1,Spine robot 2:Marker1,Spine robot 2:Marker2,Spine robot 2:Marker2,Spine robot 2:Marker2,Spine robot 2:Marker3,Spine robot 2:Marker3,Spine robot 2:Marker3,Spine robot 1:Marker1,Spine robot 1:Marker1,Spine robot 1:Marker1,Spine robot 1:Marker2,Spine robot 1:Marker2,Spine robot 1:Marker2,Spine robot 1:Marker3,Spine robot 1:Marker3,Spine robot 1:Marker3,Spine robot 2:Marker1,Spine robot 2:Marker1,Spine robot 2:Marker1,Spine robot 2:Marker2,Spine robot 2:Marker2,Spine robot 2:Marker2,Spine robot 2:Marker3,Spine robot 2:Marker3,Spine robot 2:Marker3
,ID,7C8559C669AF11F017924A27489A629B,7C8559C669AF11F017924A27489A629B,7C8559C669AF11F017924A27489A629B,7C8559C669AF11F017924A27489A629B,7C8559C669AF11F017924A27489A629B,7C8559C669AF11F017924A27489A629B,7C8559C669AF11F017924A27489A629B,7C8559C669AF11F017924A27489A629B,7C8559C669AF11F017924A27489A629B,7C8559C669AF11F017924A27489A629B,7C8559C669AF11F017924A27489A629B,7C8559C669AF11F017924A27489A629B,7C8559C669AF11F017924A27489A629B,7C8559C669AF11F017924A27489A629B,7C8559C669AF11F017924A27489A629B,7C8559C669AF11F017924A27489A629B,88820C8269AF11F017924A27489A629B,88820C8269AF11F017924A27489A629B,88820C8269AF11F017924A27489A629B,88820C8269AF11F017924A27489A629B,88820C8269AF11F017924A27489A629B,88820C8269AF11F017924A27489A629B,88820C8269AF11F017924A27489A629B,88820C8269AF11F017924A27489A629B,88820C8269AF11F017924A27489A629B,88820C8269AF11F017924A27489A629B,88820C8269AF11F017924A27489A629B,88820C8269AF11F017924A27489A629B,88820C8269AF11F017924A27489A629B,88820C8269AF11F017924A27489A629B,88820C8269AF11F017924A27489A629B,88820C8269AF11F017924A27489A629B,"B4D8778C69B911F017924A27489A629B","B4D8778C69B911F017924A27489A629B","B4D8778C69B911F017924A27489A629B","B4D8778D69B911F017924A27489A629B","B4D8778D69B911F017924A27489A629B","B4D8778D69B911F017924A27489A629B","B4D8778F69B911F017924A27489A629B","B4D8778F69B911F017924A27489A629B","B4D8778F69B911F017924A27489A629B","B4D8778E69B911F017924A27489A629B","B4D8778E69B911F017924A27489A629B","B4D8778E69B911F017924A27489A629B","B4D8778B69B911F017924A27489A629B","B4D8778B69B911F017924A27489A629B","B4D8778B69B911F017924A27489A629B","B4D8778A69B911F017924A27489A629B","B4D8778A69B911F017924A27489A629B","B4D8778A69B911F017924A27489A629B"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.135126,0.692054,-0.111803,0.700216,0.460803,0.147998,0.110223,0.461660,0.142089,0.073141,0.451162,0.147729,0.114191,0.469586,0.154175,0.143338,0.048465,0.815122,0.057698,0.574368,0.222964,0.130740,0.128500,0.187393,0.126095,0.142841,0.246602,0.119887,0.137948,0.234897,0.146238,0.104711,0.461705,0.142089,0.073110,0.451109,0.147739,0.114289,0.469609,0.154154,0.143184,0.187239,0.126050,0.142937,0.246687,0.119823,0.138015,0.235026,0.146349,0.104531
1,0.004000,-0.137114,0.691359,-0.110849,0.700667,0.460696,0.148094,0.110027,0.461613,0.142134,0.072953,0.451053,0.147789,0.113986,0.469423,0.154359,0.143140,0.048621,0.815531,0.058306,0.573712,0.223365,0.130717,0.128530,0.187819,0.126035,0.142919,0.247024,0.119865,0.137930,0.235254,0.146249,0.104742,0.461674,0.142142,0.072967,0.450946,0.147789,0.114054,0.469505,0.154342,0.142983,0.187608,0.125999,0.143016,0.247117,0.119866,0.137909,0.235341,0.146277,0.104685
2,0.008000,-0.138349,0.691296,-0.110222,0.700586,0.460644,0.148219,0.109814,0.461558,0.142228,0.072746,0.451003,0.147892,0.113779,0.469369,0.154536,0.142918,0.047565,0.816022,0.057133,0.573220,0.223774,0.130661,0.128593,0.188249,0.126008,0.143045,0.247451,0.119851,0.137995,0.235623,0.146125,0.104740,0.461601,0.142235,0.072765,0.450913,0.147886,0.113795,0.469447,0.154535,0.142859,0.188192,0.125951,0.143135,0.247362,0.119843,0.138025,0.235767,0.146203,0.104600
3,0.013000,-0.139393,0.691258,-0.109829,0.700478,0.460591,0.148326,0.109614,0.461501,0.142301,0.072551,0.450953,0.147984,0.113583,0.469318,0.154693,0.142707,0.044874,0.816797,0.055110,0.572532,0.224473,0.130689,0.128735,0.188986,0.126050,0.143284,0.248191,0.119992,0.138161,0.236242,0.146026,0.104761,0.461527,0.142307,0.072574,0.450897,0.147978,0.113583,0.469368,0.154692,0.142670,0.188908,0.126033,0.143325,0.248254,0.119955,0.138197,0.236290,0.146075,0.104681
4,0.017000,-0.141355,0.690785,-0.109819,0.700554,0.460626,0.148472,0.109393,0.461566,0.142345,0.072347,0.450988,0.148113,0.113359,0.469324,0.154957,0.142471,0.046769,0.817718,0.053995,0.571169,0.225130,0.130706,0.128800,0.189677,0.126208,0.143474,0.248838,0.119907,0.138136,0.236876,0.146003,0.104789,0.461596,0.142350,0.072357,0.450916,0.148106,0.113359,0.469392,0.154961,0.142455,0.189501,0.126234,0.143481,0.249031,0.119896,0.138105,0.236868,0.145988,0.104812
5,0.021000,-0.143170,0.690114,-0.110248,0.700779,0.460681,0.148577,0.109173,0.461670,0.142333,0.072149,0.451039,0.148211,0.113132,0.469332,0.155187,0.142239,0.047503,0.818317,0.053079,0.570336,0.225767,0.130806,0.128944,0.190336,0.126392,0.143699,0.249472,0.119963,0.138235,0.237492,0.146063,0.104897,0.461705,0.142335,0.072136,0.450966,0.148208,0.113157,0.469396,0.155191,0.142218,0.190101,0.126410,0.143732,0.249697,0.119988,0.138146,0.237529,0.146022,0.104945
