Format Version,1.23,Take Name,July2_Con_T1,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2026-07-07 05.53.13.122 PM,Capture Start Frame,103148203,Total Frames in Take,4357,Total Exported Frames,4357,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,SpineRobot_Aft,SpineRobot_Aft,SpineRobot_Aft,SpineRobot_Aft,SpineRobot_Aft,SpineRobot_Aft,SpineRobot_Aft,SpineRobot_Aft:Marker1,SpineRobot_Aft:Marker1,SpineRobot_Aft:Marker1,SpineRobot_Aft:Marker2,SpineRobot_Aft:Marker2,SpineRobot_Aft:Marker2,SpineRobot_Aft:Marker3,SpineRobot_Aft:Marker3,SpineRobot_Aft:Marker3,SpineRobot_Front,SpineRobot_Front,SpineRobot_Front,SpineRobot_Front,SpineRobot_Front,SpineRobot_Front,SpineRobot_Front,SpineRobot_Front:Marker1,SpineRobot_Front:Marker1,SpineRobot_Front:Marker1,SpineRobot_Front:Marker2,SpineRobot_Front:Marker2,SpineRobot_Front:Marker2,SpineRobot_Front:Marker3,SpineRobot_Front:Marker3,SpineRobot_Front:Marker3,SpineRobot_Aft:Marker1,SpineRobot_Aft:Marker1,SpineRobot_Aft:Marker1,SpineRobot_Aft:Marker2,SpineRobot_Aft:Marker2,SpineRobot_Aft:Marker2,SpineRobot_Aft:Marker3,SpineRobot_Aft:Marker3,SpineRobot_Aft:Marker3,SpineRobot_Front:Marker1,SpineRobot_Front:Marker1,SpineRobot_Front:Marker1,SpineRobot_Front:Marker2,SpineRobot_Front:Marker2,SpineRobot_Front:Marker2,SpineRobot_Front:Marker3,SpineRobot_Front:Marker3,SpineRobot_Front:Marker3,Unlabeled 1071,Unlabeled 1071,Unlabeled 1071,Unlabeled 1072,Unlabeled 1072,Unlabeled 1072,Unlabeled 1073,Unlabeled 1073,Unlabeled 1073,Unlabeled 1074,Unlabeled 1074,Unlabeled 1074,Unlabeled 1075,Unlabeled 1075,Unlabeled 1075
,ID,C8553BA1767711F11571DA7D1A00FB9B,C8553BA1767711F11571DA7D1A00FB9B,C8553BA1767711F11571DA7D1A00FB9B,C8553BA1767711F11571DA7D1A00FB9B,C8553BA1767711F11571DA7D1A00FB9B,C8553BA1767711F11571DA7D1A00FB9B,C8553BA1767711F11571DA7D1A00FB9B,C8553BA1767711F11571DA7D1A00FB9B,C8553BA1767711F11571DA7D1A00FB9B,C8553BA1767711F11571DA7D1A00FB9B,C8553BA1767711F11571DA7D1A00FB9B,C8553BA1767711F11571DA7D1A00FB9B,C8553BA1767711F11571DA7D1A00FB9B,C8553BA1767711F11571DA7D1A00FB9B,C8553BA1767711F11571DA7D1A00FB9B,C8553BA1767711F11571DA7D1A00FB9B,D41A2E1A767711F11571DA7D1A00FB9B,D41A2E1A767711F11571DA7D1A00FB9B,D41A2E1A767711F11571DA7D1A00FB9B,D41A2E1A767711F11571DA7D1A00FB9B,D41A2E1A767711F11571DA7D1A00FB9B,D41A2E1A767711F11571DA7D1A00FB9B,D41A2E1A767711F11571DA7D1A00FB9B,D41A2E1A767711F11571DA7D1A00FB9B,D41A2E1A767711F11571DA7D1A00FB9B,D41A2E1A767711F11571DA7D1A00FB9B,D41A2E1A767711F11571DA7D1A00FB9B,D41A2E1A767711F11571DA7D1A00FB9B,D41A2E1A767711F11571DA7D1A00FB9B,D41A2E1A767711F11571DA7D1A00FB9B,D41A2E1A767711F11571DA7D1A00FB9B,D41A2E1A767711F11571DA7D1A00FB9B,"6512EBBE7A6711F11571DA7D1A00FB9B","6512EBBE7A6711F11571DA7D1A00FB9B","6512EBBE7A6711F11571DA7D1A00FB9B","6512EBC07A6711F11571DA7D1A00FB9B","6512EBC07A6711F11571DA7D1A00FB9B","6512EBC07A6711F11571DA7D1A00FB9B","6512EBBF7A6711F11571DA7D1A00FB9B","6512EBBF7A6711F11571DA7D1A00FB9B","6512EBBF7A6711F11571DA7D1A00FB9B","6512EBBB7A6711F11571DA7D1A00FB9B","6512EBBB7A6711F11571DA7D1A00FB9B","6512EBBB7A6711F11571DA7D1A00FB9B","6512EBBD7A6711F11571DA7D1A00FB9B","6512EBBD7A6711F11571DA7D1A00FB9B","6512EBBD7A6711F11571DA7D1A00FB9B","6512EBBC7A6711F11571DA7D1A00FB9B","6512EBBC7A6711F11571DA7D1A00FB9B","6512EBBC7A6711F11571DA7D1A00FB9B","2BDB2DB5AAD767E11F1","2BDB2DB5AAD767E11F1","2BDB2DB5AAD767E11F1","2BEB2DB5AAD767E11F1","2BEB2DB5AAD767E11F1","2BEB2DB5AAD767E11F1","2BFB2DB5AAD767E11F1","2BFB2DB5AAD767E11F1","2BFB2DB5AAD767E11F1","2C0B2DB5AAD767E11F1","2C0B2DB5AAD767E11F1","2C0B2DB5AAD767E11F1","2C1B2DB5AAD767E11F1","2C1B2DB5AAD767E11F1","2C1B2DB5AAD767E11F1"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.008385,0.001306,-0.015429,0.999845,322.015259,-141.073151,1151.116699,362.101776,-145.592499,1138.793091,313.324921,-129.948029,1175.834106,290.618958,-147.678925,1138.722900,-0.033793,0.015879,-0.004840,0.999291,321.782318,-94.190300,935.868652,350.561127,-95.286598,933.605042,308.392090,-96.551094,958.433228,306.393677,-90.733223,915.567688,362.414185,-145.640610,1138.670898,313.166840,-129.944901,1175.850586,290.553497,-147.647430,1138.794067,350.617310,-95.313026,933.741882,308.642090,-96.408264,957.540344,306.235657,-90.764610,915.792236,,,,,,,,,,,,,,,
1,0.004000,0.008622,0.001307,-0.015791,0.999837,322.015869,-141.079376,1151.116333,362.099121,-145.621979,1138.790527,313.333618,-129.959656,1175.838989,290.614777,-147.656479,1138.719482,-0.034216,0.015854,-0.005224,0.999275,321.789001,-94.190048,935.830811,350.567108,-95.309975,933.570129,308.395386,-96.521393,958.396423,306.404419,-90.738785,915.525818,362.420837,-145.667358,1138.672363,313.179871,-129.956497,1175.855225,290.537903,-147.627197,1138.787842,350.617096,-95.334335,933.734802,308.646301,-96.420525,957.544922,306.227509,-90.765549,915.792664,,,,,,,,,,,,,,,
2,0.008000,0.008667,0.001283,-0.015708,0.999838,322.021149,-141.074280,1151.113037,362.105743,-145.609177,1138.788940,313.335815,-129.958176,1175.836060,290.621826,-147.655487,1138.713867,-0.033769,0.015815,-0.005079,0.999292,321.779327,-94.181839,935.831360,350.557922,-95.291695,933.571777,308.384735,-96.537170,958.393860,306.395233,-90.716652,915.528381,362.426544,-145.654938,1138.669556,313.184448,-129.952866,1175.857056,290.544556,-147.628265,1138.777954,350.606262,-95.316063,933.737366,308.639557,-96.436256,957.539917,306.218323,-90.743332,915.794556,,,,,,,,,,,,,,,
3,0.013000,0.008682,0.001251,-0.015769,0.999837,322.012787,-141.052856,1151.103638,362.097626,-145.592239,1138.781860,313.327179,-129.936447,1175.826538,290.613403,-147.629868,1138.702271,-0.034086,0.015833,-0.005169,0.999280,321.772980,-94.177025,935.825439,350.551300,-95.293251,933.565613,308.378723,-96.515694,958.389893,306.388824,-90.722145,915.520752,362.419128,-145.637115,1138.664551,313.177582,-129.931854,1175.845459,290.533875,-147.602539,1138.766479,350.609253,-95.318443,933.733215,308.627136,-96.413857,957.534363,306.204590,-90.748901,915.789429,,,,,,,,,,,,,,,
4,0.017000,0.008857,0.001243,-0.015883,0.999834,322.008789,-141.034836,1151.096191,362.092834,-145.579132,1138.773682,313.325287,-129.925049,1175.822876,290.608124,-147.600342,1138.692017,-0.034059,0.015934,-0.005275,0.999279,321.772888,-94.173164,935.825867,350.550537,-95.295609,933.560425,308.382507,-96.510056,958.392822,306.385559,-90.713844,915.524292,362.405853,-145.621094,1138.663330,313.180939,-129.922134,1175.837891,290.527039,-147.573074,1138.756226,350.604401,-95.320084,933.724731,308.628326,-96.409531,957.543884,306.206848,-90.740555,915.792175,,,,,,,,,,,,,,,
5,0.021000,0.008617,0.001177,-0.015931,0.999835,322.021851,-141.029587,1151.097656,362.106964,-145.583649,1138.782104,313.336365,-129.907059,1175.817871,290.622070,-147.598022,1138.692749,-0.033859,0.015777,-0.005178,0.999289,321.784210,-94.166801,935.825317,350.562744,-95.282623,933.568237,308.387299,-96.515442,958.387146,306.402405,-90.702362,915.520386,362.419922,-145.627655,1138.667725,313.184753,-129.904694,1175.832031,290.546936,-147.568604,1138.761230,350.614075,-95.307693,933.737610,308.644653,-96.415512,957.541504,306.219788,-90.728363,915.783203,,,,,,,,,,,,,,,
