Format Version,1.23,Take Name,July2_Des_T1,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2026-07-07 06.01.23.450 PM,Capture Start Frame,-2147483648,Total Frames in Take,3834,Total Exported Frames,3834,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,SpineRobot_Aft,SpineRobot_Aft,SpineRobot_Aft,SpineRobot_Aft,SpineRobot_Aft,SpineRobot_Aft,SpineRobot_Aft,SpineRobot_Aft:Marker1,SpineRobot_Aft:Marker1,SpineRobot_Aft:Marker1,SpineRobot_Aft:Marker2,SpineRobot_Aft:Marker2,SpineRobot_Aft:Marker2,SpineRobot_Aft:Marker3,SpineRobot_Aft:Marker3,SpineRobot_Aft:Marker3,SpineRobot_Front,SpineRobot_Front,SpineRobot_Front,SpineRobot_Front,SpineRobot_Front,SpineRobot_Front,SpineRobot_Front,SpineRobot_Front:Marker1,SpineRobot_Front:Marker1,SpineRobot_Front:Marker1,SpineRobot_Front:Marker2,SpineRobot_Front:Marker2,SpineRobot_Front:Marker2,SpineRobot_Front:Marker3,SpineRobot_Front:Marker3,SpineRobot_Front:Marker3,SpineRobot_Aft:Marker1,SpineRobot_Aft:Marker1,SpineRobot_Aft:Marker1,SpineRobot_Aft:Marker2,SpineRobot_Aft:Marker2,SpineRobot_Aft:Marker2,SpineRobot_Aft:Marker3,SpineRobot_Aft:Marker3,SpineRobot_Aft:Marker3,SpineRobot_Front:Marker1,SpineRobot_Front:Marker1,SpineRobot_Front:Marker1,SpineRobot_Front:Marker2,SpineRobot_Front:Marker2,SpineRobot_Front:Marker2,SpineRobot_Front:Marker3,SpineRobot_Front:Marker3,SpineRobot_Front:Marker3,Unlabeled 1094,Unlabeled 1094,Unlabeled 1094,Unlabeled 1095,Unlabeled 1095,Unlabeled 1095,Unlabeled 1096,Unlabeled 1096,Unlabeled 1096,Unlabeled 1097,Unlabeled 1097,Unlabeled 1097
,ID,C8553BA1767711F11571DA7D1A00FB9B,C8553BA1767711F11571DA7D1A00FB9B,C8553BA1767711F11571DA7D1A00FB9B,C8553BA1767711F11571DA7D1A00FB9B,C8553BA1767711F11571DA7D1A00FB9B,C8553BA1767711F11571DA7D1A00FB9B,C8553BA1767711F11571DA7D1A00FB9B,C8553BA1767711F11571DA7D1A00FB9B,C8553BA1767711F11571DA7D1A00FB9B,C8553BA1767711F11571DA7D1A00FB9B,C8553BA1767711F11571DA7D1A00FB9B,C8553BA1767711F11571DA7D1A00FB9B,C8553BA1767711F11571DA7D1A00FB9B,C8553BA1767711F11571DA7D1A00FB9B,C8553BA1767711F11571DA7D1A00FB9B,C8553BA1767711F11571DA7D1A00FB9B,D41A2E1A767711F11571DA7D1A00FB9B,D41A2E1A767711F11571DA7D1A00FB9B,D41A2E1A767711F11571DA7D1A00FB9B,D41A2E1A767711F11571DA7D1A00FB9B,D41A2E1A767711F11571DA7D1A00FB9B,D41A2E1A767711F11571DA7D1A00FB9B,D41A2E1A767711F11571DA7D1A00FB9B,D41A2E1A767711F11571DA7D1A00FB9B,D41A2E1A767711F11571DA7D1A00FB9B,D41A2E1A767711F11571DA7D1A00FB9B,D41A2E1A767711F11571DA7D1A00FB9B,D41A2E1A767711F11571DA7D1A00FB9B,D41A2E1A767711F11571DA7D1A00FB9B,D41A2E1A767711F11571DA7D1A00FB9B,D41A2E1A767711F11571DA7D1A00FB9B,D41A2E1A767711F11571DA7D1A00FB9B,"89559EB57A6811F11571DA7D1A00FB9B","89559EB57A6811F11571DA7D1A00FB9B","89559EB57A6811F11571DA7D1A00FB9B","89559EB77A6811F11571DA7D1A00FB9B","89559EB77A6811F11571DA7D1A00FB9B","89559EB77A6811F11571DA7D1A00FB9B","89559EB87A6811F11571DA7D1A00FB9B","89559EB87A6811F11571DA7D1A00FB9B","89559EB87A6811F11571DA7D1A00FB9B","89559EB97A6811F11571DA7D1A00FB9B","89559EB97A6811F11571DA7D1A00FB9B","89559EB97A6811F11571DA7D1A00FB9B","89559EB67A6811F11571DA7D1A00FB9B","89559EB67A6811F11571DA7D1A00FB9B","89559EB67A6811F11571DA7D1A00FB9B","89559EB47A6811F11571DA7D1A00FB9B","89559EB47A6811F11571DA7D1A00FB9B","89559EB47A6811F11571DA7D1A00FB9B","2EDB2DB5AAD767E11F1","2EDB2DB5AAD767E11F1","2EDB2DB5AAD767E11F1","2EFB2DB5AAD767E11F1","2EFB2DB5AAD767E11F1","2EFB2DB5AAD767E11F1","2F2B2DB5AAD767E11F1","2F2B2DB5AAD767E11F1","2F2B2DB5AAD767E11F1","2F3B2DB5AAD767E11F1","2F3B2DB5AAD767E11F1","2F3B2DB5AAD767E11F1"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,40.242001,-3.485040,-12.151600,-9.100110,11.263400,24.506300,-31.142000,-7.778350,-12.354900,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,28.845800,-0.693031,-1.408520,-14.066199,-3.997880,21.913200,-14.779700,4.690900,-20.504801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.004000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,40.242001,-3.485040,-12.151600,-9.100110,11.263400,24.506300,-31.142000,-7.778350,-12.354900,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,28.845800,-0.693031,-1.408520,-14.066199,-3.997880,21.913200,-14.779700,4.690900,-20.504801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.008000,-0.051458,0.013574,-0.064893,0.996472,145.659317,-135.096436,1138.662476,184.691849,-145.019089,1126.123413,138.906754,-120.327896,1162.040405,113.379242,-139.942307,1127.823364,0.995077,0.023177,-0.052308,0.080923,130.041946,-92.511696,935.881958,158.802414,-90.511902,934.043274,113.650574,-92.682426,915.258606,117.672752,-94.340744,958.344177,184.760498,-145.038696,1126.098022,138.781082,-120.381203,1161.942017,113.434959,-139.864853,1127.954590,159.821976,-90.454811,934.282959,111.521614,-92.802155,914.937073,117.539627,-94.348083,958.270813,,,,,,,,,,,,
3,0.013000,-0.049271,0.013584,-0.065234,0.996560,145.620117,-135.152603,1138.737915,184.649200,-145.048965,1126.167236,138.871246,-120.481239,1162.177979,113.339813,-139.927628,1127.868164,0.995107,0.023408,-0.052177,0.080575,130.032593,-92.530647,935.882751,158.792557,-90.516747,934.051575,113.645645,-92.693642,915.255798,117.659500,-94.381516,958.340942,184.733994,-145.075745,1126.131348,138.716278,-120.528923,1162.085327,113.382683,-139.861572,1127.980469,159.827484,-90.458389,934.296448,111.529335,-92.821213,914.936646,117.528297,-94.386993,958.267273,,,,,,,,,,,,
4,0.017000,-0.048059,0.013500,-0.065254,0.996619,145.552322,-135.189728,1138.775269,184.584991,-145.057953,1126.193604,138.796555,-120.574501,1162.248413,113.275322,-139.936722,1127.883423,0.995097,0.023614,-0.051861,0.080833,130.069473,-92.527664,935.907837,158.829575,-90.500618,934.093201,113.695122,-92.708534,915.271057,117.683662,-94.373817,958.359436,184.680069,-145.095276,1126.141235,138.599426,-120.610886,1162.169556,113.328560,-139.872772,1127.994019,159.836456,-90.442474,934.315125,111.533798,-92.839767,914.936462,117.543243,-94.380486,958.296570,,,,,,,,,,,,
5,0.021000,-0.048862,0.013716,-0.064672,0.996615,145.473572,-135.166641,1138.774780,184.510223,-145.009216,1126.185547,138.714691,-120.522705,1162.229126,113.195686,-139.968002,1127.909424,0.995098,0.023369,-0.051640,0.081040,130.096390,-92.546028,935.921875,158.858246,-90.532127,934.120422,113.732063,-92.728699,915.277100,117.698792,-94.377243,958.368164,184.592758,-145.039978,1126.142578,138.549423,-120.561096,1162.150635,113.244759,-139.907028,1128.014282,159.841827,-90.475273,934.329102,111.534821,-92.861099,914.932800,117.553711,-94.384438,958.310791,,,,,,,,,,,,
