Format Version,1.23,Take Name,July2_No_T2,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2026-07-07 06.11.09.241 PM,Capture Start Frame,103406471,Total Frames in Take,4630,Total Exported Frames,4630,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,SpineRobot_Aft,SpineRobot_Aft,SpineRobot_Aft,SpineRobot_Aft,SpineRobot_Aft,SpineRobot_Aft,SpineRobot_Aft,SpineRobot_Aft:Marker1,SpineRobot_Aft:Marker1,SpineRobot_Aft:Marker1,SpineRobot_Aft:Marker2,SpineRobot_Aft:Marker2,SpineRobot_Aft:Marker2,SpineRobot_Aft:Marker3,SpineRobot_Aft:Marker3,SpineRobot_Aft:Marker3,SpineRobot_Front,SpineRobot_Front,SpineRobot_Front,SpineRobot_Front,SpineRobot_Front,SpineRobot_Front,SpineRobot_Front,SpineRobot_Front:Marker1,SpineRobot_Front:Marker1,SpineRobot_Front:Marker1,SpineRobot_Front:Marker2,SpineRobot_Front:Marker2,SpineRobot_Front:Marker2,SpineRobot_Front:Marker3,SpineRobot_Front:Marker3,SpineRobot_Front:Marker3,SpineRobot_Aft:Marker1,SpineRobot_Aft:Marker1,SpineRobot_Aft:Marker1,SpineRobot_Aft:Marker2,SpineRobot_Aft:Marker2,SpineRobot_Aft:Marker2,SpineRobot_Aft:Marker3,SpineRobot_Aft:Marker3,SpineRobot_Aft:Marker3,SpineRobot_Front:Marker1,SpineRobot_Front:Marker1,SpineRobot_Front:Marker1,SpineRobot_Front:Marker2,SpineRobot_Front:Marker2,SpineRobot_Front:Marker2,SpineRobot_Front:Marker3,SpineRobot_Front:Marker3,SpineRobot_Front:Marker3,Unlabeled 1134,Unlabeled 1134,Unlabeled 1134,Unlabeled 1135,Unlabeled 1135,Unlabeled 1135,Unlabeled 1136,Unlabeled 1136,Unlabeled 1136,Unlabeled 1137,Unlabeled 1137,Unlabeled 1137,Unlabeled 1138,Unlabeled 1138,Unlabeled 1138,Unlabeled 1139,Unlabeled 1139,Unlabeled 1139,Unlabeled 1140,Unlabeled 1140,Unlabeled 1140,Unlabeled 1141,Unlabeled 1141,Unlabeled 1141,Unlabeled 1142,Unlabeled 1142,Unlabeled 1142,Unlabeled 1143,Unlabeled 1143,Unlabeled 1143,Unlabeled 1144,Unlabeled 1144,Unlabeled 1144,Unlabeled 1145,Unlabeled 1145,Unlabeled 1145,Unlabeled 1146,Unlabeled 1146,Unlabeled 1146
,ID,C8553BA1767711F11571DA7D1A00FB9B,C8553BA1767711F11571DA7D1A00FB9B,C8553BA1767711F11571DA7D1A00FB9B,C8553BA1767711F11571DA7D1A00FB9B,C8553BA1767711F11571DA7D1A00FB9B,C8553BA1767711F11571DA7D1A00FB9B,C8553BA1767711F11571DA7D1A00FB9B,C8553BA1767711F11571DA7D1A00FB9B,C8553BA1767711F11571DA7D1A00FB9B,C8553BA1767711F11571DA7D1A00FB9B,C8553BA1767711F11571DA7D1A00FB9B,C8553BA1767711F11571DA7D1A00FB9B,C8553BA1767711F11571DA7D1A00FB9B,C8553BA1767711F11571DA7D1A00FB9B,C8553BA1767711F11571DA7D1A00FB9B,C8553BA1767711F11571DA7D1A00FB9B,70133E6A7A6911F11571DA7D1A00FB9B,70133E6A7A6911F11571DA7D1A00FB9B,70133E6A7A6911F11571DA7D1A00FB9B,70133E6A7A6911F11571DA7D1A00FB9B,70133E6A7A6911F11571DA7D1A00FB9B,70133E6A7A6911F11571DA7D1A00FB9B,70133E6A7A6911F11571DA7D1A00FB9B,70133E6A7A6911F11571DA7D1A00FB9B,70133E6A7A6911F11571DA7D1A00FB9B,70133E6A7A6911F11571DA7D1A00FB9B,70133E6A7A6911F11571DA7D1A00FB9B,70133E6A7A6911F11571DA7D1A00FB9B,70133E6A7A6911F11571DA7D1A00FB9B,70133E6A7A6911F11571DA7D1A00FB9B,70133E6A7A6911F11571DA7D1A00FB9B,70133E6A7A6911F11571DA7D1A00FB9B,"E67E421F7A6911F11571DA7D1A00FB9B","E67E421F7A6911F11571DA7D1A00FB9B","E67E421F7A6911F11571DA7D1A00FB9B","E67E42217A6911F11571DA7D1A00FB9B","E67E42217A6911F11571DA7D1A00FB9B","E67E42217A6911F11571DA7D1A00FB9B","E67E42227A6911F11571DA7D1A00FB9B","E67E42227A6911F11571DA7D1A00FB9B","E67E42227A6911F11571DA7D1A00FB9B","E67E42207A6911F11571DA7D1A00FB9B","E67E42207A6911F11571DA7D1A00FB9B","E67E42207A6911F11571DA7D1A00FB9B","E67E42237A6911F11571DA7D1A00FB9B","E67E42237A6911F11571DA7D1A00FB9B","E67E42237A6911F11571DA7D1A00FB9B","E67E42247A6911F11571DA7D1A00FB9B","E67E42247A6911F11571DA7D1A00FB9B","E67E42247A6911F11571DA7D1A00FB9B","328B2DB5AAD767E11F1","328B2DB5AAD767E11F1","328B2DB5AAD767E11F1","32AB2DB5AAD767E11F1","32AB2DB5AAD767E11F1","32AB2DB5AAD767E11F1","32BB2DB5AAD767E11F1","32BB2DB5AAD767E11F1","32BB2DB5AAD767E11F1","329B2DB5AAD767E11F1","329B2DB5AAD767E11F1","329B2DB5AAD767E11F1","32CB2DB5AAD767E11F1","32CB2DB5AAD767E11F1","32CB2DB5AAD767E11F1","32DB2DB5AAD767E11F1","32DB2DB5AAD767E11F1","32DB2DB5AAD767E11F1","32EB2DB5AAD767E11F1","32EB2DB5AAD767E11F1","32EB2DB5AAD767E11F1","32FB2DB5AAD767E11F1","32FB2DB5AAD767E11F1","32FB2DB5AAD767E11F1","330B2DB5AAD767E11F1","330B2DB5AAD767E11F1","330B2DB5AAD767E11F1","331B2DB5AAD767E11F1","331B2DB5AAD767E11F1","331B2DB5AAD767E11F1","333B2DB5AAD767E11F1","333B2DB5AAD767E11F1","333B2DB5AAD767E11F1","334B2DB5AAD767E11F1","334B2DB5AAD767E11F1","334B2DB5AAD767E11F1","335B2DB5AAD767E11F1","335B2DB5AAD767E11F1","335B2DB5AAD767E11F1"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.043278,0.020713,-0.008906,0.998809,130.314178,-135.468048,1165.078857,169.947327,-140.773651,1151.651733,122.436401,-121.960800,1188.864014,98.558662,-143.669693,1154.720825,0.037057,0.004365,-0.042599,0.998395,116.726151,-91.086479,956.516113,145.494080,-88.719154,956.509216,103.784325,-96.977493,977.339417,100.900055,-87.562775,935.699768,170.026657,-140.802734,1151.594849,122.111061,-122.062729,1188.716675,98.704857,-143.530441,1154.947510,145.627777,-88.724503,956.578552,103.763718,-96.879562,976.906738,100.692368,-87.677078,936.124817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.004000,-0.044088,0.020753,-0.008595,0.998775,130.311966,-135.481506,1165.079590,169.946945,-140.782883,1151.656128,122.428299,-121.941170,1188.843872,98.560524,-143.720474,1154.738525,0.036641,0.004155,-0.042759,0.998405,116.720703,-91.081856,956.509827,145.489410,-88.724007,956.511597,103.769218,-96.950890,977.333374,100.903488,-87.570663,935.684631,170.024094,-140.810913,1151.600098,122.117874,-122.049072,1188.696533,98.717644,-143.568268,1154.978149,145.625854,-88.728798,956.580811,103.747025,-96.854759,976.909180,100.689621,-87.688797,936.120361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.008000,-0.043754,0.020733,-0.008825,0.998788,130.315720,-135.474579,1165.072998,169.949097,-140.785751,1151.648804,122.436829,-121.946213,1188.845703,98.561127,-143.691772,1154.724487,0.037005,0.004155,-0.042978,0.998382,116.719086,-91.075523,956.501709,145.488831,-88.730431,956.505676,103.764679,-96.953957,977.320801,100.903732,-87.542168,935.678833,170.026642,-140.813385,1151.593384,122.128540,-122.055702,1188.695190,98.719131,-143.536835,1154.968872,145.628723,-88.735306,956.575928,103.742355,-96.859596,976.905457,100.680084,-87.664436,936.127991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.013000,-0.043234,0.020804,-0.008707,0.998810,130.325851,-135.517563,1165.086670,169.958435,-140.806488,1151.651123,122.447525,-122.015701,1188.874634,98.571480,-143.730515,1154.733887,0.037051,0.004154,-0.042499,0.998401,116.720093,-91.090485,956.513550,145.487579,-88.717827,956.518860,103.770439,-96.983269,977.331482,100.902267,-87.570351,935.690308,170.035187,-140.832855,1151.597778,122.151573,-122.123474,1188.725098,98.723984,-143.577576,1154.976074,145.624786,-88.723198,956.590942,103.751663,-96.886086,976.905396,100.681366,-87.690498,936.130066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.017000,-0.043822,0.020779,-0.008528,0.998787,130.334213,-135.521698,1165.084106,169.969131,-140.811111,1151.655762,122.450165,-121.995041,1188.856079,98.583229,-143.758942,1154.740356,0.037252,0.004182,-0.042784,0.998381,116.720131,-91.086472,956.515930,145.488983,-88.730240,956.520508,103.768364,-96.980263,977.332214,100.903061,-87.548889,935.695068,170.045212,-140.837143,1151.603149,122.159454,-122.103661,1188.705078,98.740715,-143.600143,1154.991211,145.626572,-88.735687,956.592529,103.749519,-96.883850,976.910339,100.680832,-87.669434,936.135925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.021000,-0.044231,0.020855,-0.008505,0.998767,130.348206,-135.534607,1165.086182,169.981262,-140.832687,1151.655640,122.467216,-121.988998,1188.848389,98.596031,-143.782104,1154.754272,0.036886,0.003853,-0.042553,0.998406,116.725136,-91.077728,956.516602,145.492920,-88.708740,956.537903,103.762619,-96.961472,977.329163,100.919884,-87.562965,935.682922,170.056824,-140.858871,1151.603027,122.177246,-122.098053,1188.697144,98.758461,-143.619278,1155.010864,145.634018,-88.713341,956.608093,103.739891,-96.868874,976.920715,100.692963,-87.686623,936.136536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
