Format Version,1.23,Take Name,Jun12_Rigid_0_T3,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-06-12 01.13.50.537 PM,Capture Start Frame,8609925,Total Frames in Take,3025,Total Exported Frames,3025,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,SpineRobotRear,SpineRobotRear,SpineRobotRear,SpineRobotRear,SpineRobotRear,SpineRobotRear,SpineRobotRear,SpineRobotRear:Marker1,SpineRobotRear:Marker1,SpineRobotRear:Marker1,SpineRobotRear:Marker2,SpineRobotRear:Marker2,SpineRobotRear:Marker2,SpineRobotRear:Marker3,SpineRobotRear:Marker3,SpineRobotRear:Marker3,SpineRobotRear:Marker1,SpineRobotRear:Marker1,SpineRobotRear:Marker1,SpineRobotRear:Marker2,SpineRobotRear:Marker2,SpineRobotRear:Marker2,SpineRobotRear:Marker3,SpineRobotRear:Marker3,SpineRobotRear:Marker3,Unlabeled 1206,Unlabeled 1206,Unlabeled 1206,Unlabeled 1207,Unlabeled 1207,Unlabeled 1207,Unlabeled 1208,Unlabeled 1208,Unlabeled 1208,Unlabeled 1209,Unlabeled 1209,Unlabeled 1209,Unlabeled 1210,Unlabeled 1210,Unlabeled 1210,Unlabeled 1211,Unlabeled 1211,Unlabeled 1211
,ID,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,"39780537669B11F11571DA7D1A008C9B","39780537669B11F11571DA7D1A008C9B","39780537669B11F11571DA7D1A008C9B","39780538669B11F11571DA7D1A008C9B","39780538669B11F11571DA7D1A008C9B","39780538669B11F11571DA7D1A008C9B","39780536669B11F11571DA7D1A008C9B","39780536669B11F11571DA7D1A008C9B","39780536669B11F11571DA7D1A008C9B","294E8754A9C65F311F1","294E8754A9C65F311F1","294E8754A9C65F311F1","29DE8754A9C65F311F1","29DE8754A9C65F311F1","29DE8754A9C65F311F1","2A1E8754A9C65F311F1","2A1E8754A9C65F311F1","2A1E8754A9C65F311F1","AE33562ACC3ABB5B40248F284F55D9CE","AE33562ACC3ABB5B40248F284F55D9CE","AE33562ACC3ABB5B40248F284F55D9CE","AE33562BCC3ABB5B40248F284F55D9CE","AE33562BCC3ABB5B40248F284F55D9CE","AE33562BCC3ABB5B40248F284F55D9CE","AE335628CC3ABB5B40248F284F55D9CE","AE335628CC3ABB5B40248F284F55D9CE","AE335628CC3ABB5B40248F284F55D9CE"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.186632,-0.038638,-0.016051,0.981539,-0.234349,0.100164,0.027935,-0.218173,0.098587,-0.004985,-0.226605,0.086296,0.066456,-0.258269,0.115609,0.022335,-0.218329,0.098713,-0.005124,-0.226729,0.086340,0.066578,-0.257953,0.115420,0.022347,-0.002333,0.143013,0.028475,-0.021882,0.133462,0.065471,-0.045149,0.137174,0.026139,,,,,,,,,
1,0.008000,0.187970,-0.037907,-0.019060,0.981258,-0.234339,0.100206,0.028049,-0.218254,0.098639,-0.004916,-0.226576,0.086180,0.066509,-0.258187,0.115800,0.022554,-0.218325,0.098726,-0.005100,-0.226708,0.086228,0.066633,-0.257982,0.115661,0.022622,-0.002277,0.142942,0.028455,-0.021663,0.133621,0.065647,-0.045108,0.137195,0.026149,,,,,,,,,
2,0.017000,0.189472,-0.037209,-0.019724,0.980983,-0.234405,0.100160,0.028175,-0.218373,0.098681,-0.004820,-0.226597,0.086007,0.066579,-0.258247,0.115793,0.022766,-0.218391,0.098744,-0.005033,-0.226734,0.086046,0.066753,-0.258123,0.115700,0.022842,-0.002283,0.142970,0.028515,-0.021822,0.133474,0.065457,-0.045108,0.137226,0.026177,,,,,,,,,
3,0.025000,0.190495,-0.037627,-0.019593,0.980771,-0.234424,0.100201,0.028327,-0.218361,0.098792,-0.004656,-0.226648,0.085969,0.066709,-0.258263,0.115841,0.022928,-0.218384,0.098854,-0.004848,-0.226727,0.085980,0.066857,-0.258166,0.115773,0.022966,-0.002264,0.143056,0.028618,-0.021760,0.133451,0.065502,-0.045105,0.137272,0.026203,,,,,,,,,
4,0.033000,0.189999,-0.037607,-0.018444,0.980891,-0.234442,0.100226,0.028340,-0.218363,0.098816,-0.004635,-0.226649,0.086054,0.066741,-0.258314,0.115807,0.022915,-0.218407,0.098887,-0.004815,-0.226737,0.086073,0.066876,-0.258184,0.115719,0.022955,-0.002278,0.143053,0.028598,-0.021814,0.133381,0.065342,-0.045123,0.137171,0.026196,,,,,,,,,
5,0.042000,0.189211,-0.037178,-0.019167,0.981045,-0.234404,0.100229,0.028210,-0.218365,0.098748,-0.004782,-0.226585,0.086106,0.066624,-0.258261,0.115833,0.022789,-0.218379,0.098804,-0.004975,-0.226746,0.086167,0.066768,-0.258134,0.115733,0.022883,-0.002275,0.142981,0.028503,-0.021912,0.133268,0.065210,-0.045132,0.137127,0.026168,,,,,,,,,
6,0.050000,0.189060,-0.037200,-0.020338,0.981050,-0.234372,0.100208,0.028077,-0.218350,0.098684,-0.004921,-0.226570,0.086075,0.066490,-0.258195,0.115867,0.022662,-0.218360,0.098738,-0.005116,-0.226743,0.086144,0.066633,-0.258069,0.115766,0.022762,-0.002294,0.142922,0.028454,-0.021953,0.133270,0.065172,-0.045107,0.137175,0.026110,,,,,,,,,
7,0.058000,0.188097,-0.037484,-0.020289,0.981225,-0.234359,0.100243,0.028038,-0.218320,0.098652,-0.004948,-0.226578,0.086185,0.066483,-0.258179,0.115892,0.022580,-0.218355,0.098720,-0.005142,-0.226720,0.086236,0.066622,-0.258026,0.115781,0.022661,-0.002313,0.143020,0.028536,-0.021947,0.133347,0.065201,-0.045180,0.137164,0.026121,,,,,,,,,
8,0.067000,0.187074,-0.037524,-0.019762,0.981430,-0.234333,0.100301,0.028020,-0.218286,0.098655,-0.004960,-0.226548,0.086332,0.066497,-0.258167,0.115916,0.022523,-0.218340,0.098729,-0.005131,-0.226698,0.086397,0.066599,-0.257976,0.115780,0.022612,-0.002321,0.143050,0.028568,-0.021989,0.133382,0.065233,-0.045171,0.137179,0.026099,,,,,,,,,
9,0.075000,0.186979,-0.037963,-0.018699,0.981452,-0.234354,0.100288,0.027963,-0.218261,0.098663,-0.004996,-0.226590,0.086345,0.066453,-0.258210,0.115855,0.022432,-0.218310,0.098734,-0.005167,-0.226750,0.086423,0.066528,-0.258011,0.115710,0.022543,-0.002344,0.142997,0.028488,-0.022032,0.133388,0.065237,-0.045138,0.137147,0.026077,,,,,,,,,
10,0.083000,0.187658,-0.038424,-0.018314,0.981312,-0.234361,0.100217,0.027921,-0.218232,0.098646,-0.005023,-0.226630,0.086227,0.066401,-0.258221,0.115777,0.022385,-0.218268,0.098708,-0.005188,-0.226782,0.086295,0.066497,-0.258061,0.115658,0.022478,-0.002319,0.142966,0.028426,-0.021816,0.133492,0.065428,-0.045143,0.137173,0.026073,,,,,,,,,
11,0.092000,0.187376,-0.038133,-0.018391,0.981376,-0.234346,0.100226,0.027963,-0.218237,0.098636,-0.004990,-0.226592,0.086258,0.066446,-0.258208,0.115785,0.022433,-0.218300,0.098717,-0.005167,-0.226720,0.086305,0.066564,-0.258018,0.115655,0.022501,-0.002327,0.142986,0.028496,-0.021814,0.133398,0.065367,-0.045144,0.137209,0.026086,,,,,,,,,
12,0.100000,0.187157,-0.037608,-0.019435,0.981417,-0.234325,0.100214,0.028049,-0.218267,0.098583,-0.004926,-0.226542,0.086245,0.066526,-0.258166,0.115815,0.022548,-0.218346,0.098678,-0.005121,-0.226661,0.086282,0.066666,-0.257961,0.115680,0.022599,-0.002295,0.143018,0.028577,-0.021826,0.133293,0.065276,-0.045177,0.137146,0.026130,,,,,,,,,
