Format Version,1.23,Take Name,Jun12_Rigid_No_T2,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-06-12 01.34.15.285 PM,Capture Start Frame,8756894,Total Frames in Take,2905,Total Exported Frames,2905,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,SpineRobotRear,SpineRobotRear,SpineRobotRear,SpineRobotRear,SpineRobotRear,SpineRobotRear,SpineRobotRear,SpineRobotRear:Marker1,SpineRobotRear:Marker1,SpineRobotRear:Marker1,SpineRobotRear:Marker2,SpineRobotRear:Marker2,SpineRobotRear:Marker2,SpineRobotRear:Marker3,SpineRobotRear:Marker3,SpineRobotRear:Marker3,SpinRobotFront,SpinRobotFront,SpinRobotFront,SpinRobotFront,SpinRobotFront,SpinRobotFront,SpinRobotFront,SpinRobotFront:Marker1,SpinRobotFront:Marker1,SpinRobotFront:Marker1,SpinRobotFront:Marker2,SpinRobotFront:Marker2,SpinRobotFront:Marker2,SpinRobotFront:Marker3,SpinRobotFront:Marker3,SpinRobotFront:Marker3,SpinRobotFront:Marker1,SpinRobotFront:Marker1,SpinRobotFront:Marker1,SpinRobotFront:Marker2,SpinRobotFront:Marker2,SpinRobotFront:Marker2,SpinRobotFront:Marker3,SpinRobotFront:Marker3,SpinRobotFront:Marker3,SpineRobotRear:Marker1,SpineRobotRear:Marker1,SpineRobotRear:Marker1,SpineRobotRear:Marker2,SpineRobotRear:Marker2,SpineRobotRear:Marker2,SpineRobotRear:Marker3,SpineRobotRear:Marker3,SpineRobotRear:Marker3
,ID,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,"11366A05669E11F11571DA7D1A008C9B","11366A05669E11F11571DA7D1A008C9B","11366A05669E11F11571DA7D1A008C9B","11366A03669E11F11571DA7D1A008C9B","11366A03669E11F11571DA7D1A008C9B","11366A03669E11F11571DA7D1A008C9B","11366A04669E11F11571DA7D1A008C9B","11366A04669E11F11571DA7D1A008C9B","11366A04669E11F11571DA7D1A008C9B","11366A00669E11F11571DA7D1A008C9B","11366A00669E11F11571DA7D1A008C9B","11366A00669E11F11571DA7D1A008C9B","11366A02669E11F11571DA7D1A008C9B","11366A02669E11F11571DA7D1A008C9B","11366A02669E11F11571DA7D1A008C9B","11366A01669E11F11571DA7D1A008C9B","11366A01669E11F11571DA7D1A008C9B","11366A01669E11F11571DA7D1A008C9B"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.098726,0.007763,-0.024743,0.994777,-0.223977,0.123283,0.036678,-0.211109,0.115760,0.003126,-0.212452,0.116223,0.076092,-0.248370,0.137866,0.030815,-0.157141,0.019630,-0.011144,0.987318,-0.008169,0.152032,0.012960,0.011683,0.152919,-0.001597,-0.003895,0.154735,0.038402,-0.032295,0.148442,0.002075,0.011770,0.152925,-0.001601,-0.004340,0.154651,0.037815,-0.032239,0.148465,0.002296,-0.211169,0.115794,0.003428,-0.212467,0.116233,0.075823,-0.248309,0.137829,0.030803
1,0.008000,0.098733,0.008004,-0.024770,0.994773,-0.223898,0.123248,0.036738,-0.211046,0.115725,0.003180,-0.212354,0.116187,0.076147,-0.248294,0.137831,0.030887,-0.157888,0.018226,-0.013938,0.987190,-0.008166,0.151959,0.012679,0.011742,0.152721,-0.001808,-0.003971,0.154683,0.038131,-0.032270,0.148472,0.001713,0.011871,0.152736,-0.001791,-0.004264,0.154612,0.037684,-0.032218,0.148505,0.002017,-0.211075,0.115741,0.003502,-0.212351,0.116186,0.075851,-0.248274,0.137819,0.030876
2,0.017000,0.099040,0.008213,-0.024977,0.994736,-0.223850,0.123232,0.036746,-0.211016,0.115726,0.003178,-0.212291,0.116142,0.076145,-0.248243,0.137828,0.030915,-0.157052,0.016549,-0.017436,0.987298,-0.008120,0.151960,0.012477,0.011857,0.152616,-0.001920,-0.004021,0.154619,0.037952,-0.032197,0.148644,0.001398,0.012002,0.152633,-0.001885,-0.004242,0.154562,0.037557,-0.032193,0.148670,0.001686,-0.211049,0.115744,0.003497,-0.212282,0.116138,0.075885,-0.248225,0.137818,0.030895
3,0.025000,0.099786,0.008149,-0.024415,0.994676,-0.223846,0.123239,0.036738,-0.210995,0.115797,0.003162,-0.212290,0.116102,0.076130,-0.248253,0.137817,0.030922,-0.155670,0.014842,-0.021660,0.987460,-0.008128,0.151969,0.012301,0.011922,0.152505,-0.001999,-0.004129,0.154530,0.037802,-0.032177,0.148871,0.001100,0.012040,0.152521,-0.001931,-0.004210,0.154501,0.037550,-0.032242,0.148880,0.001275,-0.211029,0.115816,0.003482,-0.212281,0.116099,0.075870,-0.248235,0.137806,0.030901
4,0.033000,0.099400,0.007970,-0.025054,0.994700,-0.223841,0.123276,0.036725,-0.210993,0.115791,0.003157,-0.212303,0.116155,0.076125,-0.248228,0.137881,0.030893,-0.155449,0.013454,-0.021080,0.987527,-0.008189,0.152000,0.012257,0.011897,0.152573,-0.001992,-0.004260,0.154557,0.037769,-0.032204,0.148868,0.000993,0.011981,0.152597,-0.001804,-0.004207,0.154548,0.037608,-0.032349,0.148857,0.001016,-0.211021,0.115806,0.003478,-0.212294,0.116152,0.075850,-0.248214,0.137873,0.030876
5,0.042000,0.100078,0.007689,-0.023673,0.994668,-0.223908,0.123307,0.036737,-0.211010,0.115902,0.003170,-0.212385,0.116164,0.076137,-0.248329,0.137855,0.030903,-0.155015,0.013714,-0.017076,0.987669,-0.008282,0.152047,0.012399,0.011774,0.152792,-0.001883,-0.004329,0.154609,0.037907,-0.032291,0.148739,0.001174,0.011881,0.152820,-0.001673,-0.004268,0.154602,0.037755,-0.032458,0.148724,0.001186,-0.211057,0.115927,0.003477,-0.212390,0.116169,0.075866,-0.248288,0.137830,0.030890
6,0.050000,0.099185,0.008126,-0.022853,0.994773,-0.223973,0.123352,0.036717,-0.211087,0.115910,0.003154,-0.212408,0.116298,0.076121,-0.248423,0.137847,0.030876,-0.156136,0.014239,-0.014462,0.987527,-0.008386,0.152072,0.012697,0.011639,0.152887,-0.001625,-0.004398,0.154709,0.038192,-0.032399,0.148619,0.001524,0.011693,0.152907,-0.001457,-0.004365,0.154685,0.037878,-0.032499,0.148617,0.001613,-0.211161,0.115952,0.003447,-0.212441,0.116319,0.075839,-0.248331,0.137792,0.030874
7,0.058000,0.098677,0.008357,-0.022105,0.994839,-0.224047,0.123269,0.036745,-0.211161,0.115814,0.003185,-0.212458,0.116273,0.076152,-0.248522,0.137720,0.030897,-0.154810,0.014925,-0.009542,0.987786,-0.008474,0.152057,0.013005,0.011502,0.153103,-0.001372,-0.004438,0.154660,0.038496,-0.032485,0.148409,0.001890,0.011567,0.153123,-0.001224,-0.004483,0.154620,0.038079,-0.032529,0.148418,0.002055,-0.211229,0.115852,0.003455,-0.212516,0.116308,0.075832,-0.248414,0.137657,0.030919
8,0.067000,0.099065,0.008257,-0.022772,0.994786,-0.224132,0.123258,0.036723,-0.211253,0.115811,0.003159,-0.212556,0.116215,0.076126,-0.248587,0.137747,0.030885,-0.155874,0.015972,-0.009068,0.987606,-0.008542,0.152066,0.013245,0.011401,0.153094,-0.001178,-0.004451,0.154725,0.038721,-0.032576,0.148379,0.002192,0.011417,0.153106,-0.001055,-0.004594,0.154665,0.038210,-0.032488,0.148409,0.002425,-0.211319,0.115848,0.003385,-0.212644,0.116269,0.075801,-0.248452,0.137667,0.030935
9,0.075000,0.099382,0.008357,-0.022066,0.994770,-0.224179,0.123256,0.036680,-0.211291,0.115849,0.003110,-0.212591,0.116205,0.076078,-0.248654,0.137714,0.030853,-0.154429,0.016141,-0.009791,0.987823,-0.008566,0.152152,0.013358,0.011377,0.153191,-0.001064,-0.004469,0.154731,0.038841,-0.032606,0.148534,0.002296,0.011351,0.153197,-0.000967,-0.004696,0.154661,0.038306,-0.032353,0.148592,0.002651,-0.211357,0.115887,0.003347,-0.212674,0.116256,0.075748,-0.248523,0.137637,0.030898
