Format Version,1.23,Take Name,Jun12_Rigid_No_T3,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-06-12 01.35.37.122 PM,Capture Start Frame,-2147483648,Total Frames in Take,2729,Total Exported Frames,2729,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,SpineRobotRear,SpineRobotRear,SpineRobotRear,SpineRobotRear,SpineRobotRear,SpineRobotRear,SpineRobotRear,SpineRobotRear:Marker1,SpineRobotRear:Marker1,SpineRobotRear:Marker1,SpineRobotRear:Marker2,SpineRobotRear:Marker2,SpineRobotRear:Marker2,SpineRobotRear:Marker3,SpineRobotRear:Marker3,SpineRobotRear:Marker3,SpinRobotFront,SpinRobotFront,SpinRobotFront,SpinRobotFront,SpinRobotFront,SpinRobotFront,SpinRobotFront,SpinRobotFront:Marker1,SpinRobotFront:Marker1,SpinRobotFront:Marker1,SpinRobotFront:Marker2,SpinRobotFront:Marker2,SpinRobotFront:Marker2,SpinRobotFront:Marker3,SpinRobotFront:Marker3,SpinRobotFront:Marker3,SpinRobotFront:Marker1,SpinRobotFront:Marker1,SpinRobotFront:Marker1,SpinRobotFront:Marker2,SpinRobotFront:Marker2,SpinRobotFront:Marker2,SpinRobotFront:Marker3,SpinRobotFront:Marker3,SpinRobotFront:Marker3,SpineRobotRear:Marker1,SpineRobotRear:Marker1,SpineRobotRear:Marker1,SpineRobotRear:Marker2,SpineRobotRear:Marker2,SpineRobotRear:Marker2,SpineRobotRear:Marker3,SpineRobotRear:Marker3,SpineRobotRear:Marker3
,ID,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,"443F5E7A669E11F11571DA7D1A008C9B","443F5E7A669E11F11571DA7D1A008C9B","443F5E7A669E11F11571DA7D1A008C9B","443F5E76669E11F11571DA7D1A008C9B","443F5E76669E11F11571DA7D1A008C9B","443F5E76669E11F11571DA7D1A008C9B","443F5E77669E11F11571DA7D1A008C9B","443F5E77669E11F11571DA7D1A008C9B","443F5E77669E11F11571DA7D1A008C9B","443F5E78669E11F11571DA7D1A008C9B","443F5E78669E11F11571DA7D1A008C9B","443F5E78669E11F11571DA7D1A008C9B","443F5E75669E11F11571DA7D1A008C9B","443F5E75669E11F11571DA7D1A008C9B","443F5E75669E11F11571DA7D1A008C9B","443F5E79669E11F11571DA7D1A008C9B","443F5E79669E11F11571DA7D1A008C9B","443F5E79669E11F11571DA7D1A008C9B"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.013892,-0.013291,-0.031277,0.011045,0.001398,0.040153,-0.024937,0.011893,-0.008876,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.020320,0.005681,-0.012713,0.003296,-0.005269,0.025184,-0.023616,-0.000412,-0.012471,,,,,,,,,,,,,,,,,,
1,0.008000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.013892,-0.013291,-0.031277,0.011045,0.001398,0.040153,-0.024937,0.011893,-0.008876,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.020320,0.005681,-0.012713,0.003296,-0.005269,0.025184,-0.023616,-0.000412,-0.012471,,,,,,,,,,,,,,,,,,
2,0.017000,0.165573,-0.065323,-0.001532,0.984031,-0.241537,0.100684,0.035985,-0.223479,0.097964,0.004135,-0.235794,0.088657,0.075464,-0.265336,0.115430,0.028356,-0.011842,-0.049777,0.002944,0.998686,-0.029695,0.139093,0.058717,-0.008238,0.144619,0.047954,-0.028896,0.134438,0.084223,-0.051951,0.138224,0.043975,-0.008090,0.144657,0.047878,-0.028897,0.134406,0.084391,-0.052168,0.138214,0.043839,-0.223590,0.097954,0.004524,-0.235750,0.088654,0.075364,-0.265338,0.115436,0.028311
3,0.025000,0.165252,-0.065596,-0.002164,0.984065,-0.241550,0.100663,0.036012,-0.223486,0.097901,0.004169,-0.235837,0.088650,0.075499,-0.265327,0.115437,0.028368,-0.011941,-0.049876,0.003012,0.998679,-0.029703,0.139121,0.058675,-0.008244,0.144647,0.047914,-0.028908,0.134471,0.084182,-0.051956,0.138246,0.043929,-0.008076,0.144692,0.047824,-0.028914,0.134435,0.084370,-0.052194,0.138234,0.043783,-0.223611,0.097896,0.004496,-0.235761,0.088637,0.075374,-0.265317,0.115454,0.028270
4,0.033000,0.164948,-0.065536,-0.001271,0.984122,-0.241546,0.100691,0.035988,-0.223471,0.097937,0.004150,-0.235818,0.088717,0.075485,-0.265347,0.115419,0.028329,-0.012461,-0.049655,0.002400,0.998686,-0.029688,0.139124,0.058687,-0.008227,0.144611,0.047912,-0.028889,0.134497,0.084198,-0.051948,0.138262,0.043951,-0.008090,0.144647,0.047842,-0.028875,0.134466,0.084379,-0.052181,0.138256,0.043783,-0.223595,0.097923,0.004512,-0.235745,0.088712,0.075328,-0.265338,0.115433,0.028245
5,0.042000,0.165060,-0.065719,-0.001286,0.984091,-0.241534,0.100693,0.035947,-0.223449,0.097945,0.004115,-0.235822,0.088710,0.075443,-0.265331,0.115424,0.028283,-0.010859,-0.049686,0.002053,0.998704,-0.029689,0.139164,0.058685,-0.008224,0.144676,0.047929,-0.028893,0.134455,0.084181,-0.051948,0.138362,0.043945,-0.008089,0.144711,0.047857,-0.028886,0.134423,0.084356,-0.052164,0.138357,0.043793,-0.223534,0.097921,0.004429,-0.235753,0.088706,0.075293,-0.265341,0.115444,0.028216
