Format Version,1.23,Take Name,Jun16_Granular_0_T1,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-06-16 05.30.39.014 PM,Capture Start Frame,263615,Total Frames in Take,3564,Total Exported Frames,3564,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,SpineRobotRear,SpineRobotRear,SpineRobotRear,SpineRobotRear,SpineRobotRear,SpineRobotRear,SpineRobotRear,SpineRobotRear:Marker1,SpineRobotRear:Marker1,SpineRobotRear:Marker1,SpineRobotRear:Marker2,SpineRobotRear:Marker2,SpineRobotRear:Marker2,SpineRobotRear:Marker3,SpineRobotRear:Marker3,SpineRobotRear:Marker3,SpinRobotFront,SpinRobotFront,SpinRobotFront,SpinRobotFront,SpinRobotFront,SpinRobotFront,SpinRobotFront,SpinRobotFront:Marker1,SpinRobotFront:Marker1,SpinRobotFront:Marker1,SpinRobotFront:Marker2,SpinRobotFront:Marker2,SpinRobotFront:Marker2,SpinRobotFront:Marker3,SpinRobotFront:Marker3,SpinRobotFront:Marker3,SpinRobotFront:Marker1,SpinRobotFront:Marker1,SpinRobotFront:Marker1,SpinRobotFront:Marker2,SpinRobotFront:Marker2,SpinRobotFront:Marker2,SpinRobotFront:Marker3,SpinRobotFront:Marker3,SpinRobotFront:Marker3,SpineRobotRear:Marker1,SpineRobotRear:Marker1,SpineRobotRear:Marker1,SpineRobotRear:Marker2,SpineRobotRear:Marker2,SpineRobotRear:Marker2,SpineRobotRear:Marker3,SpineRobotRear:Marker3,SpineRobotRear:Marker3,Unlabeled 1095,Unlabeled 1095,Unlabeled 1095,Unlabeled 1096,Unlabeled 1096,Unlabeled 1096,Unlabeled 1097,Unlabeled 1097,Unlabeled 1097
,ID,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,"C34A116A69E311F11571DA7D1A008F9B","C34A116A69E311F11571DA7D1A008F9B","C34A116A69E311F11571DA7D1A008F9B","C34A116869E311F11571DA7D1A008F9B","C34A116869E311F11571DA7D1A008F9B","C34A116869E311F11571DA7D1A008F9B","C34A116969E311F11571DA7D1A008F9B","C34A116969E311F11571DA7D1A008F9B","C34A116969E311F11571DA7D1A008F9B","C34A116D69E311F11571DA7D1A008F9B","C34A116D69E311F11571DA7D1A008F9B","C34A116D69E311F11571DA7D1A008F9B","C34A116B69E311F11571DA7D1A008F9B","C34A116B69E311F11571DA7D1A008F9B","C34A116B69E311F11571DA7D1A008F9B","C34A116C69E311F11571DA7D1A008F9B","C34A116C69E311F11571DA7D1A008F9B","C34A116C69E311F11571DA7D1A008F9B","1799FFCAF8569DE11F1","1799FFCAF8569DE11F1","1799FFCAF8569DE11F1","17A9FFCAF8569DE11F1","17A9FFCAF8569DE11F1","17A9FFCAF8569DE11F1","17E9FFCAF8569DE11F1","17E9FFCAF8569DE11F1","17E9FFCAF8569DE11F1"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.149534,-0.021943,-0.013108,0.988426,0.009251,0.105853,0.117883,0.024346,0.101938,0.084646,0.018409,0.094984,0.157051,-0.015004,0.120639,0.111952,0.806077,0.189731,-0.557068,0.062592,0.223299,0.141541,0.110506,0.242794,0.145083,0.095870,0.200315,0.139303,0.098694,0.226790,0.140238,0.136955,0.243413,0.145102,0.096797,0.199950,0.139249,0.098785,0.226911,0.140287,0.136450,0.024092,0.102064,0.084787,0.018374,0.095006,0.157036,-0.014713,0.120489,0.111833,,,,,,,,,
1,0.008000,0.148708,-0.022462,-0.015799,0.988500,0.009288,0.105911,0.117860,0.024368,0.101861,0.084633,0.018378,0.095052,0.157047,-0.014884,0.120821,0.111901,0.806830,0.186057,-0.557306,0.061795,0.223351,0.141439,0.110482,0.242879,0.144801,0.095849,0.200358,0.139331,0.098662,0.226816,0.140185,0.136937,0.243622,0.144832,0.096805,0.199973,0.139277,0.098759,0.226926,0.140230,0.136451,0.024047,0.102017,0.084849,0.018348,0.095075,0.157010,-0.014587,0.120668,0.111769,,,,,,,,,
2,0.017000,0.149658,-0.019702,0.002940,0.988537,0.008888,0.105532,0.117959,0.024115,0.102093,0.084729,0.018379,0.094981,0.157135,-0.015830,0.119521,0.112012,0.806598,0.188176,-0.556864,0.062388,0.223309,0.141517,0.110484,0.242828,0.144984,0.095864,0.200329,0.139331,0.098651,0.226768,0.140237,0.136938,0.243510,0.145013,0.096765,0.199958,0.139277,0.098745,0.226877,0.140283,0.136459,0.024079,0.102100,0.084813,0.018348,0.095014,0.157021,-0.015741,0.119469,0.112045,,,,,,,,,
3,0.025000,0.148856,-0.020661,-0.005362,0.988629,0.009050,0.105662,0.117898,0.024197,0.101927,0.084664,0.018387,0.095004,0.157082,-0.015434,0.120056,0.111947,0.806219,0.189290,-0.557058,0.062184,0.223308,0.141531,0.110489,0.242808,0.145052,0.095855,0.200321,0.139323,0.098674,0.226795,0.140219,0.136937,0.243449,0.145075,0.096767,0.199956,0.139270,0.098763,0.226911,0.140266,0.136451,0.024037,0.101998,0.084788,0.018333,0.095046,0.156995,-0.015208,0.119934,0.111917,,,,,,,,,
4,0.033000,0.149064,-0.022131,-0.013263,0.988491,0.009219,0.105868,0.117826,0.024324,0.101915,0.084598,0.018361,0.095032,0.157008,-0.015027,0.120658,0.111873,0.806974,0.185474,-0.557235,0.062301,0.223346,0.141449,0.110496,0.242883,0.144781,0.095868,0.200358,0.139334,0.098666,0.226796,0.140231,0.136954,0.243643,0.144819,0.096776,0.199972,0.139280,0.098776,0.226895,0.140274,0.136462,0.024039,0.102055,0.084770,0.018327,0.095055,0.156984,-0.014729,0.120504,0.111748,,,,,,,,,
5,0.042000,0.148709,-0.022455,-0.015496,0.988505,0.009252,0.105910,0.117800,0.024338,0.101868,0.084573,0.018347,0.095056,0.156987,-0.014927,0.120805,0.111838,0.806917,0.184780,-0.557561,0.062179,0.223330,0.141451,0.110475,0.242864,0.144749,0.095834,0.200334,0.139358,0.098659,0.226794,0.140248,0.136931,0.243664,0.144790,0.096767,0.199941,0.139304,0.098752,0.226898,0.140289,0.136476,0.024018,0.102027,0.084761,0.018311,0.095080,0.156967,-0.014596,0.120633,0.111696,,,,,,,,,
