Format Version,1.23,Take Name,Jun16_Granular_Des_T1,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-06-16 05.23.28.125 PM,Capture Start Frame,211908,Total Frames in Take,4409,Total Exported Frames,4409,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,SpineRobotRear,SpineRobotRear,SpineRobotRear,SpineRobotRear,SpineRobotRear,SpineRobotRear,SpineRobotRear,SpineRobotRear:Marker1,SpineRobotRear:Marker1,SpineRobotRear:Marker1,SpineRobotRear:Marker2,SpineRobotRear:Marker2,SpineRobotRear:Marker2,SpineRobotRear:Marker3,SpineRobotRear:Marker3,SpineRobotRear:Marker3,SpinRobotFront,SpinRobotFront,SpinRobotFront,SpinRobotFront,SpinRobotFront,SpinRobotFront,SpinRobotFront,SpinRobotFront:Marker1,SpinRobotFront:Marker1,SpinRobotFront:Marker1,SpinRobotFront:Marker2,SpinRobotFront:Marker2,SpinRobotFront:Marker2,SpinRobotFront:Marker3,SpinRobotFront:Marker3,SpinRobotFront:Marker3,SpinRobotFront:Marker1,SpinRobotFront:Marker1,SpinRobotFront:Marker1,SpinRobotFront:Marker2,SpinRobotFront:Marker2,SpinRobotFront:Marker2,SpinRobotFront:Marker3,SpinRobotFront:Marker3,SpinRobotFront:Marker3,SpineRobotRear:Marker1,SpineRobotRear:Marker1,SpineRobotRear:Marker1,SpineRobotRear:Marker2,SpineRobotRear:Marker2,SpineRobotRear:Marker2,SpineRobotRear:Marker3,SpineRobotRear:Marker3,SpineRobotRear:Marker3,Unlabeled 1074,Unlabeled 1074,Unlabeled 1074,Unlabeled 1075,Unlabeled 1075,Unlabeled 1075,Unlabeled 1076,Unlabeled 1076,Unlabeled 1076
,ID,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,"C23A01F569E211F11571DA7D1A008F9B","C23A01F569E211F11571DA7D1A008F9B","C23A01F569E211F11571DA7D1A008F9B","C23A01F669E211F11571DA7D1A008F9B","C23A01F669E211F11571DA7D1A008F9B","C23A01F669E211F11571DA7D1A008F9B","C23A01F369E211F11571DA7D1A008F9B","C23A01F369E211F11571DA7D1A008F9B","C23A01F369E211F11571DA7D1A008F9B","C23A01F169E211F11571DA7D1A008F9B","C23A01F169E211F11571DA7D1A008F9B","C23A01F169E211F11571DA7D1A008F9B","C23A01F269E211F11571DA7D1A008F9B","C23A01F269E211F11571DA7D1A008F9B","C23A01F269E211F11571DA7D1A008F9B","C23A01F469E211F11571DA7D1A008F9B","C23A01F469E211F11571DA7D1A008F9B","C23A01F469E211F11571DA7D1A008F9B","A79FFCAF8569DE11F1","A79FFCAF8569DE11F1","A79FFCAF8569DE11F1","A99FFCAF8569DE11F1","A99FFCAF8569DE11F1","A99FFCAF8569DE11F1","AA9FFCAF8569DE11F1","AA9FFCAF8569DE11F1","AA9FFCAF8569DE11F1"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.085208,-0.027654,-0.001183,0.995979,0.011354,0.098962,0.106610,0.026985,0.091072,0.074341,0.020159,0.093449,0.146962,-0.013082,0.112365,0.098528,0.807919,0.176107,-0.557635,0.072777,0.225894,0.137422,0.103684,0.245523,0.140279,0.089078,0.202963,0.135071,0.091790,0.229197,0.136916,0.130184,0.246154,0.140327,0.089938,0.202505,0.135015,0.091817,0.229329,0.136943,0.129849,0.026645,0.091255,0.074445,0.020150,0.093453,0.147011,-0.012834,0.112233,0.098389,,,,,,,,,
1,0.008000,0.085359,-0.027798,-0.001260,0.995962,0.011370,0.098940,0.106612,0.027008,0.091058,0.074344,0.020163,0.093414,0.146964,-0.013062,0.112350,0.098527,0.807895,0.175919,-0.557606,0.073714,0.225903,0.137394,0.103688,0.245535,0.140241,0.089085,0.202978,0.135005,0.091790,0.229196,0.136937,0.130190,0.246140,0.140286,0.089959,0.202531,0.134950,0.091813,0.229331,0.136964,0.129856,0.026669,0.091240,0.074459,0.020171,0.093408,0.147031,-0.012853,0.112240,0.098367,,,,,,,,,
2,0.017000,0.085488,-0.028054,-0.001531,0.995943,0.011365,0.098960,0.106602,0.027014,0.091077,0.074340,0.020136,0.093417,0.146957,-0.013055,0.112385,0.098510,0.807823,0.176621,-0.557550,0.073253,0.225879,0.137410,0.103680,0.245506,0.140292,0.089076,0.202952,0.135024,0.091784,0.229179,0.136914,0.130181,0.246168,0.140344,0.089933,0.202507,0.134969,0.091829,0.229298,0.136940,0.129840,0.026654,0.091270,0.074472,0.020136,0.093416,0.147005,-0.012836,0.112269,0.098368,,,,,,,,,
3,0.025000,0.085195,-0.027887,-0.001222,0.995973,0.011367,0.098953,0.106606,0.027011,0.091061,0.074344,0.020152,0.093440,0.146962,-0.013064,0.112359,0.098512,0.807892,0.176142,-0.557558,0.073578,0.225874,0.137416,0.103668,0.245506,0.140274,0.089066,0.202949,0.135028,0.091768,0.229167,0.136946,0.130169,0.246140,0.140322,0.089924,0.202506,0.134973,0.091805,0.229292,0.136972,0.129833,0.026646,0.091257,0.074464,0.020147,0.093442,0.147012,-0.012823,0.112231,0.098369,,,,,,,,,
4,0.033000,0.085482,-0.027749,-0.000927,0.995953,0.011346,0.098977,0.106608,0.026989,0.091112,0.074338,0.020145,0.093447,0.146959,-0.013094,0.112372,0.098528,0.807579,0.176168,-0.557939,0.074054,0.225880,0.137404,0.103683,0.245498,0.140261,0.089063,0.202947,0.134990,0.091804,0.229194,0.136961,0.130182,0.246129,0.140311,0.089924,0.202509,0.134936,0.091844,0.229317,0.136987,0.129842,0.026661,0.091287,0.074464,0.020132,0.093453,0.146986,-0.012832,0.112232,0.098396,,,,,,,,,
5,0.042000,0.085098,-0.027772,-0.001449,0.995984,0.011360,0.098966,0.106619,0.026993,0.091061,0.074354,0.020154,0.093457,0.146973,-0.013067,0.112381,0.098529,0.808016,0.176017,-0.557515,0.072841,0.225906,0.137429,0.103686,0.245540,0.140282,0.089086,0.202978,0.135078,0.091784,0.229199,0.136927,0.130187,0.246172,0.140329,0.089935,0.202518,0.135022,0.091807,0.229333,0.136954,0.129860,0.026647,0.091247,0.074454,0.020148,0.093459,0.147029,-0.012824,0.112251,0.098386,,,,,,,,,
6,0.050000,0.085103,-0.027642,-0.001179,0.995988,0.011361,0.098964,0.106601,0.026991,0.091068,0.074333,0.020167,0.093460,0.146954,-0.013075,0.112365,0.098517,0.807599,0.176686,-0.557771,0.073879,0.225894,0.137405,0.103704,0.245513,0.140288,0.089090,0.202965,0.134987,0.091820,0.229205,0.136939,0.130204,0.246158,0.140339,0.089945,0.202504,0.134929,0.091846,0.229336,0.136966,0.129874,0.026636,0.091258,0.074448,0.020163,0.093461,0.147006,-0.012847,0.112244,0.098375,,,,,,,,,
