Format Version,1.23,Take Name,pronk,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-06-23 06.39.35.709 PM,Capture Start Frame,44738935,Total Frames in Take,7094,Total Exported Frames,7094,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,SpineRobotRear,SpineRobotRear,SpineRobotRear,SpineRobotRear,SpineRobotRear,SpineRobotRear,SpineRobotRear,SpineRobotRear:Marker1,SpineRobotRear:Marker1,SpineRobotRear:Marker1,SpineRobotRear:Marker2,SpineRobotRear:Marker2,SpineRobotRear:Marker2,SpineRobotRear:Marker3,SpineRobotRear:Marker3,SpineRobotRear:Marker3,SpinRobotFront,SpinRobotFront,SpinRobotFront,SpinRobotFront,SpinRobotFront,SpinRobotFront,SpinRobotFront,SpinRobotFront:Marker1,SpinRobotFront:Marker1,SpinRobotFront:Marker1,SpinRobotFront:Marker2,SpinRobotFront:Marker2,SpinRobotFront:Marker2,SpinRobotFront:Marker3,SpinRobotFront:Marker3,SpinRobotFront:Marker3,SpinRobotFront:Marker1,SpinRobotFront:Marker1,SpinRobotFront:Marker1,SpinRobotFront:Marker2,SpinRobotFront:Marker2,SpinRobotFront:Marker2,SpinRobotFront:Marker3,SpinRobotFront:Marker3,SpinRobotFront:Marker3,SpineRobotRear:Marker1,SpineRobotRear:Marker1,SpineRobotRear:Marker1,SpineRobotRear:Marker2,SpineRobotRear:Marker2,SpineRobotRear:Marker2,SpineRobotRear:Marker3,SpineRobotRear:Marker3,SpineRobotRear:Marker3,Unlabeled 1066,Unlabeled 1066,Unlabeled 1066,Unlabeled 1067,Unlabeled 1067,Unlabeled 1067,Unlabeled 1068,Unlabeled 1068,Unlabeled 1068,Unlabeled 1069,Unlabeled 1069,Unlabeled 1069,Unlabeled 1070,Unlabeled 1070,Unlabeled 1070,Unlabeled 1071,Unlabeled 1071,Unlabeled 1071,Unlabeled 1072,Unlabeled 1072,Unlabeled 1072,Unlabeled 1073,Unlabeled 1073,Unlabeled 1073,Unlabeled 1074,Unlabeled 1074,Unlabeled 1074,Unlabeled 1075,Unlabeled 1075,Unlabeled 1075,Unlabeled 1076,Unlabeled 1076,Unlabeled 1076
,ID,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,499FC7F669011F11571DA7D1A008C9B,"8DD5771A6F6D11F11571DA7D1A00909B","8DD5771A6F6D11F11571DA7D1A00909B","8DD5771A6F6D11F11571DA7D1A00909B","8DD5771B6F6D11F11571DA7D1A00909B","8DD5771B6F6D11F11571DA7D1A00909B","8DD5771B6F6D11F11571DA7D1A00909B","8DD5771C6F6D11F11571DA7D1A00909B","8DD5771C6F6D11F11571DA7D1A00909B","8DD5771C6F6D11F11571DA7D1A00909B","8DD577186F6D11F11571DA7D1A00909B","8DD577186F6D11F11571DA7D1A00909B","8DD577186F6D11F11571DA7D1A00909B","8DD577196F6D11F11571DA7D1A00909B","8DD577196F6D11F11571DA7D1A00909B","8DD577196F6D11F11571DA7D1A00909B","8DD577176F6D11F11571DA7D1A00909B","8DD577176F6D11F11571DA7D1A00909B","8DD577176F6D11F11571DA7D1A00909B","3306F69F6946C0911F1","3306F69F6946C0911F1","3306F69F6946C0911F1","3356F69F6946C0911F1","3356F69F6946C0911F1","3356F69F6946C0911F1","3396F69F6946C0911F1","3396F69F6946C0911F1","3396F69F6946C0911F1","3316F69F6946C0911F1","3316F69F6946C0911F1","3316F69F6946C0911F1","3326F69F6946C0911F1","3326F69F6946C0911F1","3326F69F6946C0911F1","3336F69F6946C0911F1","3336F69F6946C0911F1","3336F69F6946C0911F1","33A6F69F6946C0911F1","33A6F69F6946C0911F1","33A6F69F6946C0911F1","33C6F69F6946C0911F1","33C6F69F6946C0911F1","33C6F69F6946C0911F1","33B6F69F6946C0911F1","33B6F69F6946C0911F1","33B6F69F6946C0911F1","33D6F69F6946C0911F1","33D6F69F6946C0911F1","33D6F69F6946C0911F1","33F6F69F6946C0911F1","33F6F69F6946C0911F1","33F6F69F6946C0911F1"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.131705,-0.043648,-0.019193,0.990142,-0.124474,0.119958,0.024517,-0.108136,0.114555,-0.007915,-0.117116,0.110354,0.064389,-0.148170,0.134964,0.017075,-0.174716,0.008344,-0.133026,0.975556,0.088525,0.143149,0.021283,0.108782,0.138643,0.008013,0.091932,0.146052,0.046833,0.064860,0.144752,0.009004,0.107948,0.138731,0.007920,0.092136,0.146070,0.047211,0.066612,0.144209,0.006001,-0.108150,0.114762,-0.009424,-0.117255,0.110356,0.065006,-0.148021,0.134873,0.017099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008000,0.132215,-0.043692,-0.019467,0.990066,-0.124476,0.119962,0.024494,-0.108140,0.114584,-0.007942,-0.117124,0.110313,0.064357,-0.148164,0.134988,0.017068,-0.175151,0.006707,-0.136120,0.975063,0.088587,0.143169,0.021236,0.108874,0.138529,0.008057,0.091904,0.146092,0.046796,0.064982,0.144885,0.008856,0.107968,0.138648,0.007981,0.092140,0.146113,0.047207,0.066613,0.144275,0.005986,-0.108155,0.114796,-0.009466,-0.117272,0.110314,0.065008,-0.148009,0.134894,0.017092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.017000,0.132006,-0.043615,-0.019270,0.990101,-0.124476,0.119975,0.024505,-0.108141,0.114590,-0.007931,-0.117116,0.110347,0.064371,-0.148171,0.134989,0.017074,-0.174886,0.007098,-0.135626,0.975177,0.088575,0.143167,0.021237,0.108855,0.138554,0.008037,0.091913,0.146076,0.046796,0.064958,0.144872,0.008879,0.107953,0.138670,0.007945,0.092143,0.146099,0.047214,0.066634,0.144253,0.006014,-0.108151,0.114801,-0.009486,-0.117262,0.110346,0.065025,-0.148022,0.134898,0.017097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,0.131542,-0.043455,-0.019029,0.990175,-0.124482,0.119948,0.024512,-0.108154,0.114540,-0.007923,-0.117107,0.110361,0.064385,-0.148186,0.134944,0.017074,-0.174125,0.006883,-0.134625,0.975453,0.088600,0.143168,0.021235,0.108893,0.138618,0.008034,0.091924,0.146045,0.046799,0.064983,0.144842,0.008872,0.107983,0.138734,0.007957,0.092158,0.146066,0.047210,0.066638,0.144237,0.006004,-0.108175,0.114756,-0.009471,-0.117247,0.110364,0.064999,-0.148033,0.134850,0.017097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033000,0.131913,-0.043429,-0.019542,0.990117,-0.124480,0.119952,0.024524,-0.108162,0.114554,-0.007918,-0.117107,0.110326,0.064389,-0.148171,0.134977,0.017102,-0.175075,0.006928,-0.136291,0.975052,0.088574,0.143153,0.021223,0.108854,0.138508,0.008035,0.091902,0.146070,0.046782,0.064965,0.144882,0.008851,0.107950,0.138624,0.007942,0.092130,0.146092,0.047197,0.066670,0.144263,0.006008,-0.108173,0.114767,-0.009487,-0.117245,0.110326,0.065011,-0.148025,0.134887,0.017124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.042000,0.131413,-0.043822,-0.018871,0.990179,-0.124484,0.119950,0.024517,-0.108130,0.114536,-0.007904,-0.117137,0.110376,0.064399,-0.148185,0.134939,0.017057,-0.174568,0.007152,-0.134498,0.975390,0.088568,0.143166,0.021210,0.108853,0.138608,0.007998,0.091909,0.146064,0.046769,0.064942,0.144827,0.008862,0.107946,0.138718,0.007877,0.092134,0.146090,0.047202,0.066626,0.144214,0.006014,-0.108152,0.114757,-0.009488,-0.117282,0.110378,0.065037,-0.148028,0.134842,0.017080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
