Format Version,1.23,Take Name,Apr17_Sand_Des_1,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-04-17 05.49.28.492 PM,Capture Start Frame,7454527,Total Frames in Take,4140,Total Exported Frames,4140,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,softSpineSingleBody,softSpineSingleBody,softSpineSingleBody,softSpineSingleBody,softSpineSingleBody,softSpineSingleBody,softSpineSingleBody,softSpineSingleBody:Marker1,softSpineSingleBody:Marker1,softSpineSingleBody:Marker1,softSpineSingleBody:Marker2,softSpineSingleBody:Marker2,softSpineSingleBody:Marker2,softSpineSingleBody:Marker3,softSpineSingleBody:Marker3,softSpineSingleBody:Marker3,softSpineSingleBody:Marker4,softSpineSingleBody:Marker4,softSpineSingleBody:Marker4,softSpineSingleBody:Marker5,softSpineSingleBody:Marker5,softSpineSingleBody:Marker5,softSpineSingleBody:Marker6,softSpineSingleBody:Marker6,softSpineSingleBody:Marker6,softSpineSingleBody:Marker1,softSpineSingleBody:Marker1,softSpineSingleBody:Marker1,softSpineSingleBody:Marker2,softSpineSingleBody:Marker2,softSpineSingleBody:Marker2,softSpineSingleBody:Marker3,softSpineSingleBody:Marker3,softSpineSingleBody:Marker3,softSpineSingleBody:Marker4,softSpineSingleBody:Marker4,softSpineSingleBody:Marker4,softSpineSingleBody:Marker5,softSpineSingleBody:Marker5,softSpineSingleBody:Marker5,softSpineSingleBody:Marker6,softSpineSingleBody:Marker6,softSpineSingleBody:Marker6
,ID,F7CF6D003AB311F11571DA7D1A00809B,F7CF6D003AB311F11571DA7D1A00809B,F7CF6D003AB311F11571DA7D1A00809B,F7CF6D003AB311F11571DA7D1A00809B,F7CF6D003AB311F11571DA7D1A00809B,F7CF6D003AB311F11571DA7D1A00809B,F7CF6D003AB311F11571DA7D1A00809B,F7CF6D003AB311F11571DA7D1A00809B,F7CF6D003AB311F11571DA7D1A00809B,F7CF6D003AB311F11571DA7D1A00809B,F7CF6D003AB311F11571DA7D1A00809B,F7CF6D003AB311F11571DA7D1A00809B,F7CF6D003AB311F11571DA7D1A00809B,F7CF6D003AB311F11571DA7D1A00809B,F7CF6D003AB311F11571DA7D1A00809B,F7CF6D003AB311F11571DA7D1A00809B,F7CF6D003AB311F11571DA7D1A00809B,F7CF6D003AB311F11571DA7D1A00809B,F7CF6D003AB311F11571DA7D1A00809B,F7CF6D003AB311F11571DA7D1A00809B,F7CF6D003AB311F11571DA7D1A00809B,F7CF6D003AB311F11571DA7D1A00809B,F7CF6D003AB311F11571DA7D1A00809B,F7CF6D003AB311F11571DA7D1A00809B,F7CF6D003AB311F11571DA7D1A00809B,"73B9D4223AC011F11571DA7D1A00809B","73B9D4223AC011F11571DA7D1A00809B","73B9D4223AC011F11571DA7D1A00809B","73B9D4213AC011F11571DA7D1A00809B","73B9D4213AC011F11571DA7D1A00809B","73B9D4213AC011F11571DA7D1A00809B","73B9D4233AC011F11571DA7D1A00809B","73B9D4233AC011F11571DA7D1A00809B","73B9D4233AC011F11571DA7D1A00809B","73B9D4243AC011F11571DA7D1A00809B","73B9D4243AC011F11571DA7D1A00809B","73B9D4243AC011F11571DA7D1A00809B","73B9D4203AC011F11571DA7D1A00809B","73B9D4203AC011F11571DA7D1A00809B","73B9D4203AC011F11571DA7D1A00809B","73B9D41F3AC011F11571DA7D1A00809B","73B9D41F3AC011F11571DA7D1A00809B","73B9D41F3AC011F11571DA7D1A00809B"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.011108,-0.027301,-0.006906,0.999542,0.231900,-0.050051,0.236696,0.340761,-0.031526,0.199734,0.333731,-0.030074,0.260547,0.129208,-0.072415,0.264402,0.096679,-0.058274,0.213417,0.352640,-0.027427,0.289815,0.138381,-0.080593,0.192264,0.344970,-0.034626,0.199593,0.333734,-0.029794,0.260038,0.127939,-0.078880,0.264343,0.096451,-0.057758,0.214250,0.350358,-0.025965,0.290182,0.138946,-0.076461,0.191792
1,0.008000,-0.011834,-0.027421,-0.007029,0.999529,0.231888,-0.050064,0.236700,0.340763,-0.031622,0.199736,0.333719,-0.030080,0.260546,0.129183,-0.072358,0.264414,0.096670,-0.058282,0.213400,0.352622,-0.027396,0.289814,0.138371,-0.080643,0.192290,0.344969,-0.034638,0.199589,0.333719,-0.029791,0.260026,0.127970,-0.078854,0.264343,0.096440,-0.057756,0.214238,0.350326,-0.025984,0.290160,0.138940,-0.076473,0.191775
2,0.017000,-0.012295,-0.027372,-0.007115,0.999524,0.231880,-0.050044,0.236731,0.340755,-0.031658,0.199739,0.333717,-0.030059,0.260548,0.129173,-0.072292,0.264476,0.096658,-0.058257,0.213453,0.352624,-0.027352,0.289812,0.138352,-0.080646,0.192359,0.344981,-0.034621,0.199588,0.333728,-0.029788,0.260029,0.127993,-0.078803,0.264368,0.096417,-0.057733,0.214243,0.350347,-0.025937,0.290159,0.138954,-0.076424,0.191780
3,0.025000,-0.010375,-0.027165,-0.006839,0.999554,0.231887,-0.050040,0.236701,0.340736,-0.031442,0.199737,0.333721,-0.030080,0.260554,0.129206,-0.072461,0.264401,0.096662,-0.058252,0.213445,0.352638,-0.027472,0.289821,0.138362,-0.080533,0.192249,0.344953,-0.034636,0.199597,0.333726,-0.029797,0.260047,0.127972,-0.078829,0.264345,0.096421,-0.057771,0.214269,0.350320,-0.025950,0.290163,0.138953,-0.076434,0.191814
4,0.033000,-0.011325,-0.027413,-0.007046,0.999535,0.231901,-0.050031,0.236669,0.340776,-0.031553,0.199723,0.333732,-0.030073,0.260534,0.129196,-0.072353,0.264361,0.096683,-0.058225,0.213362,0.352636,-0.027419,0.289805,0.138383,-0.080565,0.192228,0.344959,-0.034627,0.199580,0.333721,-0.029810,0.260020,0.127976,-0.078854,0.264337,0.096448,-0.057727,0.214246,0.350336,-0.025935,0.290141,0.138939,-0.076449,0.191800
5,0.042000,-0.011278,-0.027300,-0.006957,0.999539,0.231870,-0.050045,0.236692,0.340733,-0.031544,0.199723,0.333703,-0.030070,0.260536,0.129175,-0.072387,0.264406,0.096648,-0.058260,0.213416,0.352613,-0.027415,0.289803,0.138347,-0.080591,0.192270,0.344956,-0.034637,0.199575,0.333708,-0.029815,0.260016,0.127961,-0.078834,0.264339,0.096427,-0.057746,0.214260,0.350328,-0.025931,0.290149,0.138924,-0.076476,0.191793
